dist_type,district,description
Fire,Capay FPD,The County of Yolo performs plan review and inspection.
Fire,Clarksburg FPD,The County of Yolo performs plan review and inspection.
Fire,Dunnigan FPD,The County of Yolo performs plan review and inspection.
Fire,East Davis FPD,Davis Fire Department performs full plan review and inspection services in the City of Davis and the portions of Springlake Fire District SOUTH of County Road 29.
Fire,Elkhorn FPD,The County of Yolo performs plan review and inspection.
Fire,Esparto FPD,The County of Yolo performs plan review and inspection.
Fire,Knights Landing FPD,The County of Yolo performs plan review and inspection.
Fire,Madison FPD,The County of Yolo performs plan review and inspection.
Fire,No Man's Land FPD,The County of Yolo performs plan review and inspection.
Fire,"Springlake, Woodland FPD",Woodland Fire Department performs full plan review and inspection services in the City of Woodland and the portions of Springlake Fire District NORTH of County Road 29.
Fire,"Springlake, Davis FPD",Davis Fire Department performs full plan review and inspection services in the City of Davis and the portions of Springlake Fire District SOUTH of County Road 29.
Fire,West Plainfield FPD,The County of Yolo performs plan review and inspection.
,Willow Oak FPD,The County of Yolo performs plan review and inspection.
,Winters FPD,Winters Fire Department services the City of Winters and surrounding areas. Winters performs full plan review and inspection in their service area.
Fire,Yolo FPD,The County of Yolo performs plan review and inspection.
,Zamora FPD,The County of Yolo performs plan review and inspection.
Relcamation,RD 150,
Relcamation,RD 307,
Relcamation,RD 537,
Relcamation,RD 730,
Relcamation,RD 765,
Relcamation,RD 787,
Relcamation,RD 900,
Relcamation,RD 999,
Relcamation,RD1600,
Relcamation,RD 2035,
CSD,Cacheville CSD,
CSD,Esparto CSD,
CSD,Knights Landing CSD,
CSD,Madison CSD,
Water,Dunnigan Water District,
Water,Yolo County Flood Control and Water Conservation District,
CSA,Dunnigan CSA,
CSA,El Macero CSA,
CSA,Garcia Bend CSA,
CSA,North Davis Meadows CSA,
CSA,Snowball CSA,
CSA,Wild Wings CSA,
CSA,Willowbank CSA,
CSA,Clarksburg Lighting Assessment District,
School,Davis,Davis Joint Unified School District
School,Esparto,Esparto Unified School District
School,Washington,Washington Unified School District
School,Winters,Winters Joint Unified School District
School,Woodland,Woodland Joint Unified School District
