id,review_type,days_cycle1,days_cycle2
1,Bldg Full Review,10,5
2,Bldg Accessibility,10,5
3,Bldg Addressing,10,5
4,Bldg Ag Exempt,10,5
5,Bldg Architectural,10,5
6,Bldg Commercial Coach,10,5
7,Bldg Manufactured Home,10,5
8,Bldg Tiny-Home on Wheels,10,5
9,Bldg Demolition,10,5
10,Bldg Grading,10,5
11,Bldg Green/Energy,10,5
12,Bldg Electrical,10,5
13,Bldg Fire Alarms,10,5
14,Bldg Fire Sprinklers,10,5
15,Bldg Flood,10,5
16,Bldg Mechanical,10,5
17,Bldg Plumbing,10,5
18,Bldg Pool,10,5
19,Bldg Rapid,3,1
20,Bldg Structural (Conventional),10,5
21,Bldg Structrual (Engineered),10,5
22,Code Enforcement,10,5
23,Environmental Health,10,5
24,Fire District,10,5
25,Int. Waste Management,10,5
26,Planning,10,5
27,Public Works,10,5
28,Service District,10,5
