name,policy,authorization,adopted,revised,expires,tier_base_qty,tier_base_fee,rate,unit,rate_check,budget_unit_1,budget_unit_1_share,budget_unit_2,budget_unit_2_share
California Building Standards Fee (State Pass-Through Fee),State mandated fee with 90% retained for staff training.,"H&S 17951, GC66014",1/13/2009,,,0,0,4,$1 of Construction Valuation,4.00 / 4.00 (Based on Valuation),1,0.9,1,0.1
California Building Standards Fee (State Pass-Through Fee),State mandated fee with 90% retained for staff training.,"H&S 17951, GC66014",1/13/2009,,,0,0,4,$1 of Construction Valuation,4.00 / 4.00 (Based on Valuation),1,0.9,1,0.1
Strong Motion Instrumentation and Seismic Hazard Mapping (State Pass Through Fee) ($7 for Strong Motion Instrumentation and $3 for Seismic Hazard Mapp,State mandated fee with 90% retained for staff training.,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,1,$1 of Construction Valuation,"Per $100,000 Valuation, Set by State",1,0.9,1,0.1
Strong Motion Instrumentation and Seismic Hazard Mapping (State Pass Through Fee) ($7 for Strong Motion Instrumentation and $3 for Seismic Hazard Mapp,State mandated fee with 90% retained for staff training.,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,1,$1 of Construction Valuation,"Per $100,000 Valuation, Set by State",1,0.9,1,0.1
"General Plan Cost Recovery (value $50,000 and under)",,GC 66104,5/19/2009,5/15/2012,,0,0,0.05,$1 of Building Fees,5% of Building Fees,1,1,1,0
"General Plan Cost Recovery (value over $50,000)",,GC 66104,,5/15/2012,,0,0,0.1,$1 of Building Fees,10% of Building Fee,1,1,1,0
Manufactured Home Fee - Permit Inspection,,H&S 17951,6/26/2018,,,0,0,455,each permit,455.00 / Per Permit,1,1,1,0
Additional Time Spent for Activities not Listed on Fee List,,"H&S 17951, YCC 7-1.03",7/24/2018,,,0,0,149,each hour,"149.00 / Actual Cost, Charged Per Hour",1,1,1,0
Cal Green,,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,0.15,$1 of Plan Review Fees,"15% of the Plan Review Fee, as applicable",1,1,1,0
Certificate of Occupancy/Temporary Certificate of Occupancy,,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,101,each permit,101.00 / Per Permit,1,1,1,0
Disabled Access,,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,0.15,$1 of Plan Review Fees,"15% of the Plan Review Fee, as applicable",1,0.9,1,0.1
Returned Check Fee,,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,25,each permit,25.00 / Per Occurance,1,1,1,0
Stucco/ Siding,,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,434,each permit,434.00 / Flat Fee,1,1,1,0
Title 24 Review,,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,0.1,$1 of Plan Review Fees,"10% of the Plan Review Fee, as applicable",1,1,1,0
"New/Replace Sign Rate Illuminated, Non-Illuminated Monument or Pole",,"H&S 17951, YCC 7-1.03",,6/23/2020,,0,0,434,each permit,434.00 / Per Permit,1,1,1,0
New/Replacement Building Sign Rate Illuminate or Non- Illuminated,,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,217,each permit,217.00 / Per Permit,1,1,1,0
Flood Elevation Certificate,,"GC 65104, 66016; Cal. Const. Art. XI @ 7",,6/26/2018,,0,0,558,each permit,558.00 / Flat Fee,1,1,1,0
Flood Plain Substantial Improvement Determination,,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,267,each permit,267.00 / Per Permit,1,1,1,0
Flood Zone Determination Fee,,"GC 65104, 66016; Cal. Const. Art. XI @ 7",,6/26/2018,,0,0,33,15 minutes,33.00 / per 15 minutes (15 minute minimum),1,1,1,0
Flood Management Fee,,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,0.0466,$1 of Plan Review Fees,"4.66% of the Plan Review Fee, as applicable",1,1,1,0
Disability Access: CASp,,SB1186,,6/26/2018,,0,0,4,each permit,4.00 / Per Business License,1,1,1,0
Technology Recovery Fee,,Ordinance 1381,5/19/2009,,,0,0,0.06,$1 of Permit Cost,6% of permit cost,1,1,1,0
Addressing Fee,Staff time to assign a new address,"GC 65104, 66016; Cal. Const. Art. XI @ 7",,6/26/2018,,0,0,134,each permit,134.00 / Flat Fee,1,1,1,0
Ag Exempt,Staff time to verify the ag exempt structure meets the requirements of Yolo County Count Section 7-1.03,YCC 7-1.03,,6/26/2018,,0,0,173,each permit,173.00 / Flat Fee,1,1,1,0
Alternate Building Materials Requests,Staff time for the review required by CBC 104.11,"H&S 17951, GC66014, YCC 7-1.03",,6/26/2018,,0,0,269,each hour,269.00 / per hour (min. 5 hours),1,1,1,0
"Alternative Energy; Wind Turbine, Methane Gas Conversion, Agricultural Crop Conversion For Bio-Fuels, Etc.",,H & S 17951,5/19/2009,,,0,0,1,$1 of Construction Valuation,Based on construction valuation,1,1,1,0
Building Permit Application Fee,Staff time to intake a building permit application,H&S17951,,7/24/2018,,0,0,67,each permit,67.00 / Per Permit,1,1,1,0
"Building Permit Application Fee - Only for HVAC, Solar, Water Heater, or other small projects as determined by CBO",,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,33,each permit,33.00 / Per Permit,1,1,1,0
"Building Permit Fee - $1,000,001+ Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity of a project used to determine the overall inspection workload based on records from past permits.,"H&S 17951, YCC 7-1.03",6/26/2018,,,1000000,7908,3.25,$1 of Construction Valuation,"7908.00 / Base Fee Plus
$3.25 per $1,000; based on valuation",1,1,1,0
"Building Permit Fee - $1-$10,000 Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity of a project used to determine the overall inspection workload based on records from past permits.,"H&S 17951, YCC 7-1.03",,6/26/2018,,0,149,12,$1 of Construction Valuation,"149.00 / Base Fee Plus
$12.00 per $1,000; based on valuatio",1,1,1,0
"Building Permit Fee - $10,001-$25,000 Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity of a project used to determine the overall inspection workload based on records from past permits.,"H&S 17951, YCC 7-1.03",6/26/2018,,,10000,251,31.18,$1 of Construction Valuation,"251.00 / Base Fee Plus
$31.18 per $1,000; based on valuatio",1,1,1,0
"Building Permit Fee - $100,001-$200,000 Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity of a project used to determine the overall inspection workload based on records from past permits.,"H&S 17951, YCC 7-1.03",,6/26/2018,,100000,1359,7.2,$1 of Construction Valuation,"1359.00 / Base Fee Plus
$7.20 per $1,000; based on valuation",1,1,1,0
"Building Permit Fee - $25,001-$50,000 Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity of a project used to determine the overall inspection workload based on records from past permits.,"H&S 17951, YCC 7-1.03",6/26/2018,,,25000,718,5.79,$1 of Construction Valuation,"718.00 / Base Fee Plus
$5.79 per $1,000; based on valuation",1,1,1,0
"Building Permit Fee - $50,001-$100,000 Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity of a project used to determine the overall inspection workload based on records from past permits.,"H&S 17951, YCC 7-1.03",6/26/2018,,,50000,863,9.91,$1 of Construction Valuation,"863.00 / Base Fee Plus
$9.91 per $1,000; based on valuation",1,1,1,0
"Building Permit Fee - $500,001-$1,000,000 Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity of a project used to determine the overall inspection workload based on records from past permits.,"H&S 17951, YCC 7-1.03",6/26/2018,,,500000,4238,7.34,$1 of Construction Valuation,"4238.00 / Base Fee Plus
$7.34 per $1,000; based on valuation",1,1,1,0
Building Permit Issuance Fee,Staff time to issue a building permit,"H&S 17951, YCC 7-1.03",7/24/2018,,,0,0,56,each permit,56.00 / Per Permit,1,1,1,0
Business Site Inspection,,"YCC 12-1.513, 7-1.03, GC 66014",,6/26/2018,,1.5,223.5,145,each hour,145.00 / per hour (min 1.5 hours),1,1,1,0
"Cellular Tower, Co-location",,H&S 17951,,6/23/2020,,0,0,579,each permit,579.00 / Per Permit,1,1,1,0
"Cellular Tower, Equipment container",,H&S 17951,,6/23/2020,,0,0,579,each permit,579.00 / Per Permit,1,1,1,0
"Cellular Tower, Free Standing",,H&S 17951,,6/23/2020,,0,0,869,each permit,869.00 / Per Permit,1,1,1,0
Copy of Plans (non-standard sizes),,H&S 17951,6/10/2008,,,0,0,5,each sheet,5.00 / Per Sheet,1,1,1,0
