CASE_NO,REMARKS,InspectionType,INSPECTOR,SCHEDULED_DATE,SCHEDULED_TIME,COMPLETED_DATE,COMPLETED_TIME,DURATION,RESULT,NOTES,LOCKID,RECORDID,DURATION_EST,CREATED_DATE,CREATED_TIME,CREATED_BY,SEQID,CAPOVERRIDE,update_originator_id,update_timestamp,create_timestamp,exID,PathURL,PathURLDateAdded,insert_originator_id
CE2020-0010,mailed Courtesy Notice,LETTER DRAFTING,ANE,2/13/2020 0:00,,2/13/2020 0:00,,,,,,ANE:2002130220042587,,2/13/2020 0:00,14:20,ANE,,,0,00000000857783FF,2239195657,,,,0
CE2012-0001,530.665.9454,SITE VISIT,AY,4/9/2012 0:00,10:00 AM,4/9/2012 0:00,10:00 AM,60,FAILED,"(4/10/2012 9:04 AM NB)4/9/2012Met with owner at property, chassis from manufactured home remains on site. Owner says she is making arrangements for somebody to pick up chassis along with three remaining mobil homes. Will follow up in two weeks 4/23/2012 Norm Boeger",,AY:1204060258271416,,4/6/2012 0:00,14:58,AY,,,0,0000000005CB0B5D,96530361,,,,
1044,,SITE VISIT,,3/28/2012 0:00,,,,30,,"(4/6/2012 8:00 AM NB)3/28/2012Went to site for inspection, trailers have been removed, took pictures of site. Case has been closed by Jeff Anderson.",,AY:1204060752390827,,4/6/2012 0:00,7:52,AY,,,0,0000000005BDCD5E,96321530,,,,
CE2022-0019,,SITE VISIT,SD,3/25/2022 0:00,,3/26/2022 0:00,,0,RED TAG ISSUED,,,CR:2203261107334537,,3/26/2022 0:00,11:07,CR,,,0,00000000A75EA5D2,2807997630,,,,0
CE2022-0019,,VERIFY VIOLATION,SD,3/25/2022 0:00,,3/26/2022 0:00,,0,VIOLATION CONF.,,,CR:2203261107334538,,3/26/2022 0:00,11:07,CR,,,0,00000000A75EA5D4,2807997633,,,,0
CE2022-0019,,COMPLIANCE,PT,,,,,,,,,CR:2203261107344539,,3/26/2022 0:00,11:07,CR,,,0,00000000A75EA4C6,2807997636,,,,0
CE2022-0019,,FOLLOW UP,DBK,3/29/2022 0:00,,,,,,,,CR:2203261107344540,,3/26/2022 0:00,11:07,CR,,,0,00000000A76265AD,2807997641,,,,0
CE2022-0004,,SITE VISIT,DBK,2/10/2022 0:00,,2/10/2022 0:00,,,VIOLATION CONF.,,,DBK:2202111053509940,,2/11/2022 0:00,10:53,DBK,,,0,00000000A52F924D,2771358283,,,,0
CE2022-0004,,VERIFY VIOLATION,DBK,2/10/2022 0:00,,2/10/2022 0:00,,,VIOLATION CONF.,,,DBK:2202111053509941,,2/11/2022 0:00,10:53,DBK,,,0,00000000A52F9250,2771358286,,,,0
CE2022-0004,Wrong address was reported. Case closed.,SITE VISIT,DBK,2/17/2022 0:00,,2/17/2022 0:00,,,NO VIOLATION,,,DBK:2202170242119408,,2/17/2022 0:00,14:42,DBK,,,0,00000000A5994D92,2778286876,,,,0
CE2022-0013,Viol. still exists,SITE VISIT,DBK,2/28/2022 0:00,,2/28/2022 0:00,,,VIOLATION CONF.,,,DBK:2203070830208551,,3/7/2022 0:00,8:30,DBK,,,0,00000000A65A78F6,2790946988,,,,0
CE2022-0004,Progress made,SITE VISIT,DBK,3/18/2022 0:00,,,,,,(3/22/2022 7:53 AM DBK)I met with resident Brian Drew at the property. The front yard has been mowed down to ground level. He stated the bak yard is <Quote>phase 2<Quote> and he will work on it next. He has made great progress toward compliance.,,DBK:2203220752217850,,3/22/2022 0:00,7:52,DBK,,,0,00000000A71B6792,2803590897,,,,0
CE2022-0018,,SITE VISIT,DBK,3/10/2022 0:00,,3/10/2022 0:00,,,VIOLATION CONF.,,,DBK:2203220805297897,,3/22/2022 0:00,8:05,DBK,,,0,00000000A71B7167,2803593571,,,,0
CE2022-0018,,VERIFY VIOLATION,DBK,3/10/2022 0:00,,3/10/2022 0:00,,,VIOLATION CONF.,,,DBK:2203220805297898,,3/22/2022 0:00,8:05,DBK,,,0,00000000A71B716C,2803593578,,,,0
CE2022-0020,Inspection w/owner,SITE VISIT,DBK,4/11/2022 0:00,14:30,4/11/2022 0:00,14:30,,NO VIOLATION,,,DBK:2203290931546734,,3/29/2022 0:00,9:31,DBK,,,0,00000000A8534D21,2809724752,,,,0
CE2022-0023,Sign identified,SITE VISIT,DBK,4/4/2022 0:00,,4/4/2022 0:00,,90,VIOLATION CONF.,,,DBK:2204040311063247,,4/4/2022 0:00,15:11,DBK,,,0,00000000A7CFFB1A,2815423668,,,,0
CE2022-0023,,VERIFY VIOLATION,DBK,4/4/2022 0:00,,4/4/2022 0:00,,,VIOLATION CONF.,,,DBK:2204040311063248,,4/4/2022 0:00,15:11,DBK,,,0,00000000A7CFFB1C,2815423671,,,,0
CE2022-0023,,FOLLOW UP,,,,,,,,,,DBK:2204040311063249,,4/4/2022 0:00,15:11,DBK,,,0,00000000A7CFFB1E,2815423674,,,,0
CE2022-0023,,FOLLOW UP,PT,,,,,,,,,DBK:2204040311063250,,4/4/2022 0:00,15:11,DBK,,,0,00000000A7CFF4BF,2815423677,,,,0
CE2022-0023,Sign removed,COMPLIANCE,DBK,4/29/2022 0:00,,4/29/2022 0:00,,,VIOL. RESOLVED,,,DBK:2204040311073251,,4/4/2022 0:00,15:11,DBK,,,0,00000000A96FE08C,2815423680,,,,0
CE2022-0004,Good progress made toward compliance,SITE VISIT,DBK,3/18/2022 0:00,,3/18/2022 0:00,,,PASS,,,DBK:2204050856093811,,4/5/2022 0:00,8:56,DBK,,,0,00000000A7D6A84C,2815849827,,,,0
CE2022-0013,Both signs removed,SITE VISIT,DBK,4/14/2022 0:00,,4/14/2022 0:00,,,VIOL. RESOLVED,(4/14/2022 3:24 PM DBK)I conducted an inspection today. Both signs have been removed. Complied.,,DBK:2204140323024906,,4/14/2022 0:00,15:23,DBK,,,0,00000000A88E779A,2827908823,,,,0
CE2022-0024,,SITE VISIT,DBK,4/11/2022 0:00,,4/11/2022 0:00,,,,(4/14/2022 8:47 AM DBK)Many vehicles observed parked on the property and in the street.,,DBK:2204140842173872,,4/14/2022 0:00,8:42,DBK,,,0,00000000A8887831,2827514846,,,,0
CE2022-0024,,VERIFY VIOLATION,DBK,4/11/2022 0:00,,4/11/2022 0:00,,,,,,DBK:2204140842173873,,4/14/2022 0:00,8:42,DBK,,,0,00000000A888949A,2827514849,,,,0
CE2022-0024,,LETTER DRAFTING,DBK,4/14/2022 0:00,,4/14/2022 0:00,,,,,,DBK:2204140842173874,,4/14/2022 0:00,8:42,DBK,,,0,00000000A888A936,2827514852,,,,0
CE2022-0024,,FOLLOW UP,PT,,,,,,,,,DBK:2204140842173875,,4/14/2022 0:00,8:42,DBK,,,0,00000000A88873E9,2827514855,,,,0
CE2022-0024,,COMPLIANCE,PT,,,,,,,,,DBK:2204140842183876,,4/14/2022 0:00,8:42,DBK,,,0,00000000A88873EC,2827514858,,,,0
CE2022-0018,Weeds mowed/complied,COMPLIANCE,DBK,4/11/2022 0:00,,4/11/2022 0:00,,,VIOL. RESOLVED,(4/14/2022 11:06 AM DBK)I conducted an inspection on 4/11/22 and observed the weeds had been cut down to below 18<Quote> in height.,,DBK:2204141105214533,,4/14/2022 0:00,11:05,DBK,,,0,00000000A889500D,2827571090,,,,0
CE2022-0026,Stop Work Order issued,SITE VISIT,DBK,4/22/2022 0:00,,4/22/2022 0:00,,,STOP WORK NOTICE,(4/22/2022 2:40 PM DBK)While driving by this address I noticed new framing attached to a small structure. Unknown what the original structure is or what the small addition is. I could not access the property due to a closed driveway gate. I issued a Stop Work order and taped it to the driveway gate.,,DBK:2204220234520826,,4/22/2022 0:00,14:34,DBK,,,0,00000000A911120D,2836467538,,,,0
CE2020-0020,,SITE VISIT,DBK,4/20/2022 0:00,,4/20/2022 0:00,,,VIOL. RESOLVED,,,DBK:2204220824010072,,4/22/2022 0:00,8:24,DBK,,,0,00000000A90A5264,2836025954,,,,0
CE2020-0010,,SITE VISIT,DBK,4/26/2022 0:00,,4/26/2022 0:00,,,VIOL. RESOLVED,,,DBK:2204280843365582,,4/28/2022 0:00,8:43,DBK,,,0,00000000A951F161,2840719711,,,,0
CE2022-0028,,SITE VISIT,DBK,4/29/2022 0:00,,4/29/2022 0:00,,,VIOLATION CONF.,,,DBK:2205020821467334,,5/2/2022 0:00,8:21,DBK,,,0,00000000A96FDE35,2842680883,,,,0
CE2022-0028,,VERIFY VIOLATION,DBK,4/29/2022 0:00,,4/29/2022 0:00,,,VIOLATION CONF.,(5/2/2022 8:22 AM DBK)Sign advertising NOR CAL PUMP AND WELL DRILLING observed at the corner of Rd 98 and Russell Blvd.,,DBK:2205020821467335,,5/2/2022 0:00,8:21,DBK,,,0,00000000A96FDE9C,2842680886,,,,0
CE2022-0028,,SITE VISIT,DBK,6/2/2022 0:00,,6/2/2022 0:00,,,VIOL. RESOLVED,,,DBK:2206030741123575,,6/3/2022 0:00,7:41,DBK,,,0,00000000AB242E50,2871275086,,,,0
CE2022-0028,Sign removed,COMPLIANCE,DBK,6/2/2022 0:00,,6/2/2022 0:00,,,VIOL. RESOLVED,(6/3/2022 7:41 AM DBK)I conducted an inspection on 6/2/22 and the sign has been removed. Complied.,,DBK:2206030741123576,,6/3/2022 0:00,7:41,DBK,,,0,00000000AB248A5B,2871275089,,,,0
CE2022-0033,,SITE VISIT,DBK,6/10/2022 0:00,,6/10/2022 0:00,,,VIOLATION CONFIRMED,,,DBK:2206130828088486,,6/13/2022 0:00,8:28,DBK,,,0,00000000AB75539D,2876593051,,,,0
CE2022-0033,OVERGROWN OLEANDERS,VERIFY VIOLATION,DBK,6/10/2022 0:00,,6/10/2022 0:00,,,VIOLATION CONFIRMED,,,DBK:2206130828098487,,6/13/2022 0:00,8:28,DBK,,,0,00000000AB7557C8,2876593054,,,,0
CE2022-0033,OLEANDERS TRIMMED BACK,COMPLIANCE,DBK,6/27/2022 0:00,,6/27/2022 0:00,,,VIOLATION RESOLVED,,,DBK:2206281018250313,,6/28/2022 0:00,10:18,DBK,,,0,00000000AC3E6DA5,2889770734,,,,0
CE2022-0042,Business verified,VERIFY VIOLATION,DBK,8/2/2022 0:00,,8/2/2022 0:00,,,VIOLATION CONFIRMED,"(8/4/2022 3:21 PM DBK)I drove to the location and observed a sign for R2 Turf at the entrance. There is a large amount of rolled astroturf, etc. on the parcel, and work trucks.",,DBK:2208040320300388,,8/4/2022 0:00,15:20,DBK,,,0,00000000AE34322D,2922656022,,,,0
CE2022-0045,No violations observed,SITE VISIT,DBK,9/1/2022 0:00,,9/1/2022 0:00,10:00,,NO VIOLATION,"(9/1/2022 12:44 PM DBK)I arranged to have Deputy Reeves meet me at the property at 1000 today. We met and nocked on the front door. We spoke with owner Victoria Allen. I advised her of the concerns and she allowed Reeves and I to inspect her property. She did not join us. I walked around the RV (5th wheel). there are no signs of it being occupied. It is not connected to any utilities and there are no personal affects near it.------ There is a small amount of junk in differnt areas of the property, but not enough to constitute a violation. I did not observe any rodents in or near the junk.(9/1/2022 12:47 PM DBK)I left a flyer on her front door from the Yolo County Landfill that outlines the items she could take to the landfill for free.",,DBK:2209011239204420,,9/1/2022 0:00,12:39,DBK,,,0,00000000AFA3F92D,2946744438,,,,0
CE2011-0001,,FOLLOW UP,PT,9/30/2013 0:00,,10/2/2013 0:00,,,VIOL. RESOLVED,(10/2/2013 8:58 AM DG)(9/30/2013 9:58:07 AM DG) Action Created(9/30/2013 9:58 AM DG) Permit BP2011-0101 issued on 2/11/2011.(9/30/2013 9:58 AM DG)Permit was finaled by RF on 5/3/2011.,,DG:1310020857200046,,10/2/2013 0:00,8:57,DG,,,0,000000000E1BD08D,236703787,,,,0
CE2020-0010,,SITE VISIT,JOD,2/10/2020 0:00,,2/10/2020 0:00,,45,VIOLATION CONF.,,,JOD:2002111052298987,,2/11/2020 0:00,10:52,JOD,,,0,0000000085578A71,2237100515,,,,0
CE2020-0010,,VERIFY VIOLATION,JOD,2/10/2020 0:00,,2/10/2020 0:00,,,VIOLATION CONF.,,,JOD:2002111052298988,,2/11/2020 0:00,10:52,JOD,,,0,00000000857783FD,2237100518,,,,0
CE2019-0028,,SITE VISIT,JOD,6/3/2020 0:00,,6/3/2020 0:00,,30,VIOLATION CONF.,,,JOD:2006051207418991,,6/5/2020 0:00,12:07,JOD,,,0,0000000088DB78AD,2296084598,,,,0
