id,fund,fund_label,share,unit,unit_label,unit_description,cost_center,gl_account,cams,Infor Activity,Infor Account Category,ledger
101,1001,General Fund,1.0,1000.0,FSA Davis,FSA Davis,110015,401327.0,,,,11011000110015401327
102,1001,General Fund,1.0,1501.0,Survey,,120001,440080.0,,2029999.0,10000.0,10011501120001440080
103,1001,General Fund,1.0,2971.0,PGE Grant,PGE Grant,120002,,,,,
104,1001,General Fund,1.0,2971.0,Planning ZA,GF PLANNING,120003,401330.0,(proj. specific),,,10012971120003401330
105,1001,General Fund,1.0,2971.0,Planning,GF PLANNING,120003,401330.0,2971-BD5003,,,10012971120003401330
106,1001,General Fund,1.0,2971.0,Business Licenses,GF PLANNING,120003,401301.0,2971-PL5001,,,10012971120003401301
107,1001,General Fund,1.0,2971.0,"Copies, Notary",GF PLANNING,120003,440690.0,,,,10012971120003440690
108,1001,General Fund,1.0,2971.0,PACE,DCS PACE PROGRAM OVERSIGHT,120010,,,,,
109,1001,General Fund,1.0,2971.0,Resilience,DCS RESILIENCE,120011,,,,,
110,1001,General Fund,1.0,2971.0,CE Main,GF CODE ENFORCEMENT,120013,401329.0,2971-CE5000,,,10012971120013401329
111,1030,Environmental Health,1.0,4051.0,EH,ENVIRONMENTAL HEALTH,120039,401360.0,4013-LUSE,,,10304051120039401360
112,1061,General Plan Cost Recovery,1.0,2971.0,General Plan Cost Recovery,,120014,401327.0,,,,10612971120014401327
113,1001,General Fund,1.0,2971.0,CE Abatement,CODE ENFORCEMENT ABATEMENT PROG,120015,,,,,
201,2030,Road Fund,1.0,3011.0,PW Road,ROAD FUND,120026,,,,,
202,2030,Road Fund,1.0,3011.0,PW Admin,ROAD FUND ADMINISTRATION,120027,,,,,
203,2030,Road Fund,1.0,3011.0,PW Engineering - subcategory?,ROAD FUND ENGINEERING,120028,440080.0,3011-RW1005,2029999.0,10000.0,20303011120028440080
204,2030,Road Fund,1.0,3011.0,PW Engineering - subcategory?,ROAD FUND ENGINEERING,120028,440081.0,,,,20303011120028440081
205,2030,Road Fund,1.0,3011.0,PW Engineering - subcategory?,ROAD FUND ENGINEERING,120028,440081.0,3011-RW1001,,,20303011120028440081
206,2030,Road Fund,1.0,3011.0,PW Engineering - subcategory?,ROAD FUND ENGINEERING,120028,401315.0,,,,20303011120028401315
207,2030,Road Fund,1.0,,PW Engineering - subcategory?,ROAD FUND ENGINEERING,120028,401320.0,3011-RW1002,2029999.0,10000.0,20303011120028401320
208,2030,Road Fund,1.0,3011.0,PW Engineering - subcategory?,ROAD FUND ENGINEERING,120028,401320.0,3011-RW1003,,,20303011120028401320
209,2030,Road Fund,1.0,3011.0,PW Maintenance,ROAD FUND ROAD MAINTENANCE,120029,,,,,
210,2832,CSA,1.0,4999.0,County Service Area,CSA,121032,,,,,28324999121032440003
601,6031,Building Enterprise Fund,0.05,2975.0,Bldg Seismic (5% Retained),BUILDING ENTERPRISE FD SEISMIC,120019,401310.0,2975-BD5009,,,60312975120019401310
602,6031,Building Enterprise Fund,0.9,2975.0,Bldg Disabled Access,BUILDING ENTERPRISE FD DISABILITY,120020,401301.0,2975-BD5008,,,60312975120020401301
603,6031,Building Enterprise Fund,1.0,2975.0,Bldg Enterprise,BUILDING ENTERPRISE FD BLDG,120021,401310.0,2975-BD5003,,,60312975120021401310
604,6031,Building Enterprise Fund,0.1,2975.0,Bldg Building Standards Fee,BUILDING ENTERPRISE FD BLDG,120021,401310.0,2975-BD5000,,,60312975120021401310
701,6021,Integrated Waste,1.0,4401.0,IWM,INTEGRATED WASTE MANAGEMENT,120050,401310.0,,,,60214401120050401310
801,6031,Building Enterprise Fund,1.0,2975.0,Tech: Business License,BUILDING ENTERPRISE FD TECH COST RECOVERY,120041,401301.0,,,,60312975120041401301
802,6031,Building Enterprise Fund,1.0,2975.0,"Tech: Building, IWM",BUILDING ENTERPRISE FD TECH COST RECOVERY,120041,401310.0,,,,60312975120041401310
803,6031,Building Enterprise Fund,1.0,2945.0,Tech: PRA/ENC,BUILDING ENTERPRISE FD TECH COST RECOVERY,120041,401320.0,,,,60312975120041401320
804,6031,Building Enterprise Fund,1.0,2975.0,Tech: Planning,BUILDING ENTERPRISE FD TECH COST RECOVERY,120041,401330.0,,,,60312975120041401330
805,6031,Building Enterprise Fund,1.0,2945.0,Tech: Survey/SW,BUILDING ENTERPRISE FD TECH COST RECOVERY,120041,440080.0,,,,60312975120041440080
806,6031,Building Enterprise Fund,1.0,2945.0,Tech: PW,BUILDING ENTERPRISE FD TECH COST RECOVERY,120041,440081.0,,,,60312975120041440081
901,6031,Building Enterprise Fund,0.1,,State Disability Access and Education Fee,,213001,,,,,6031213001
902,6031,Building Enterprise Fund,0.95,,State Strong Motion and Instrumentation,,213013,,,,,6031213013
903,6031,Building Enterprise Fund,0.9,,State Building Standards,,213018,,,,,6031213018
