id,prefix,division,record_type,suffix
1,BL,Business License,Business License,
2,BP,Building Permit,Building,Bldg
3,BP,Building Permit,Demolition,Demo
4,BP,Building Permit,Electrical,Elc
5,BP,Building Permit,Fire,Fire
6,BP,Building Permit,Flood,Flood
7,BP,Building Permit,Grading,Grade
8,BP,Building Permit,Mechanical,Mch
9,BP,Building Permit,Plumbing,Plb
10,BP,Building Permit,Pool/Spa,Pool
11,CE,Code Enforcement Case,Code Enforcement Case,
12,PW,Public Works,County Surveyor,CS-M
13,PW,Public Works,County Surveyor,CS-D
14,PW,Public Works,Encroachment,Enc
15,PW,Public Works,Parade-Race-Assembly,PRA
16,PW,Public Works,Stormwater,SW
17,ZF,Zone File,Zone File,
