id,agency_option_short,agency_option_full
1,Capay Fire,Capay Fire District
2,Davis Fire,City of Davis Fire Department
3,Dunnigan Fire,Dunnigan Fire District
4,Esparto Fire,Esparto Fire District
5,Knights Landing Fire,Knights Landing Fire District
6,Madison Fire,Madison Fire District
7,West Plainfield Fire,West Plainfield Fire District
8,West Sac Fire,City of West Sacramento Fire Department
9,Winters Fire,City of Winters Fire Department
10,Woodland Fire,City of Woodland Fire Department
11,Yolo County,County of Yolo
12,Yolo Fire,Yolo Fire District
13,YSAQMD,Yolo Solano Air Quality Management District
