id,license_short,license_long
1,Arch,Architect
2,PE,Civil Engineer
3,GE,Geotechnical Engineer
4,LLS,Licensed Land Surveyor
5,SE,Structural Engineer
62,ASB,Asbestos Certification
63,HAZ,Hazardous Substance Removal Certification
99,A,General Engineering Contractor
100,B-2,Residential Remodeling Contractor
101,B,General Contractor
102,C-2,Insulation and Acoustical Contractor
104,C-4,"Boiler, Hot Water Heating and Steam Fitting Contractor"
105,C-5,Framing and Rough Carpentry Contractor
106,C-6,"Cabinet, Millwork and Finish Carpentry Contractor"
107,C-7,Low Voltage Systems Contractor
108,C-8,Concrete Contractor
109,C-9,Drywall Contractor
110,C-10,Electrical Contractor
111,C-11,Elevator Contractor
112,C-12,Earthwork and Paving Contractors
113,C-13,Fencing Contractor
115,C-15,Flooring and Floor Covering Contractors
116,C-16,Fire Protection Contractor
117,C-17,Glazing Contractor
120,C-20,"Warm-Air Heating, Ventilating and Air-Conditioning Contractor"
121,C-21,Building Moving/Demolition Contractor
122,C-22,Asbestos Abatement Contractor
123,C-23,Ornamental Metal Contractor
127,C-27,Landscaping Contractor
128,C-28,Lock and Security Equipment Contractor
129,C-29,Masonry Contractor
131,C-31,Construction Zone Traffic Control Contractor
132,C-32,Parking and Highway Improvement Contractor
133,C-33,Painting and Decorating Contractor
134,C-34,Pipeline Contractor
135,C-35,Lathing and Plastering Contractor
136,C-36,Plumbing Contractor
138,C-38,Refrigeration Contractor
139,C-39,Roofing Contractor
142,C-42,Sanitation System Contractor
143,C-43,Sheet Metal Contractor
145,C-45,Sign Contractor
146,C-46,Solar Contractor
147,C-47,General Manufactured Housing Contractor
149,C-49,Tree and Palm Contractor
150,C-50,Reinforcing Steel Contractor
151,C-51,Structural Steel Contractor
153,C-53,Swimming Pool Contractor
154,C-54,Ceramic and Mosaic Tile Contractor
155,C-55,Water Conditioning Contractor
157,C-57,Well Drilling Contractor
160,C-60,Welding Contractor
161,C-61,Limited Specialty
