"BUSINESS_NO","COMPANY","MAIL_ADDRESS1","MAIL_ADDRESS2","MAIL_CITY","MAIL_STATE","MAIL_ZIP","LOC_ADDRESS1","LOC_ADDRESS2","LOC_CITY","LOC_STATE","LOC_ZIP","PHONE","FAX","EMERGENCY","BUSINESS_TYPE","SIC_1","SIC_2","SIC_3","OWNERSHIP_TYPE","TAX_ID","RESALE_ID","ST_LIC_NO","ST_LIC_ISS","ST_LIC_EXP","WRKR_COMP","W_COMP_NO","W_COMP_ISS","W_COMP_EXP","NOTES","COMPANY_PRINT_AS","EMPLOYEES","TEXTFIELD1","TEXTFIELD2","TEXTFIELD3","TEXTFIELD4","TEXTFIELD5","TEXTFIELD6","TEXTFIELD7","TEXTFIELD8","CHECKBOX1","CHECKBOX2","CHECKBOX3","CHECKBOX4","CHECKBOX5","CHECKBOX6","CHECKBOX7","CHECKBOX8","TAG","CLASSIFICATION","EMAIL","OWNER_NAME","SITE_STREETID","SITE_NUMBER","SITE_STREETNAME","SITE_UNIT_NO","SITE_CITY","SITE_STATE","SITE_ZIP","SITE_ALTERNATE_ID","SITE_GEOTYPE","SITE_APN","SITE_LOT_NO","SITE_BLOCK","SITE_TRACT","SITE_SUBDIVISION","SITE_DESCRIPTION","LIAB_CARRIER","LIAB_NO","LIAB_ISS","LIAB_EXP","DEFAULT_INSPECTOR","LOCKID","RECORDID","LOC_RECORDID","DEPOSITTYPE","HISTORICAL_APN","BUSINESS_SUBTYPE","FEES_CHARGED","FEES_PAID","BALANCE_DUE","REFERENCE_NO","update_originator_id","update_timestamp","create_timestamp","insert_originator_id"
"13371","ZERO IMPACT ELECTRICAL","3100 AIRWAY AVE #127","","COSTA MESA","CA","92626","3100 AIRWAY AVE #127","","COSTA MESA","CA","92626","8188777781","","","CONTRACTOR","1731007","","","CORPORATION","","","1068228","","","","","","","","","","1068228","C-10 (ELECTRICAL)","","","","","","","","","","","","","","","","","CPM@ZI.SOLUTIONS.COM","","","3100","AIRWAY AVE #127","","COSTA MESA","CA","92626","","","","","","","","","","","","","","","4MM:2201070952522296","","","","ELECTRICAL","","","","","0","00000000A305077D","2735014123","0"
"13391","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4MM:2201270831123159","","","","","","","","","0","00000000A3DEF714","2749298452","0"
"13454","THE REAL CLEAN SOLUTION","","","","","","830 W MAIN ST","","Winters","CA","95694","","","","OTHER","","","","SOLE PROPRIETORSHIP","","","","","","","","","","(4/29/2022 11:29 AM AG)JANITORIAL CLEANING SERVICES","","","","","","","","","","","","","","","","","","","","","","","","830","W MAIN ST","","Winters","CA","95694","","","","","","","","","","","","","","","AG:2204291127036908","","","","SANITATION","","","","","0","00000000A965CD7B","2842020812","0"
"13462","Pesola Construction INC","PO BOX 1295","","ALTA","CA","95701","101 MORTON RD","","ALTA","CA","95701","9167080115","","","CONTRACTOR","","","","CORPORATION","","","","","","","","","","","Mario Pesola","","778808","B","08/31/2023","","","","","","","","","","","","","","","","mariocpesola@reagan.com","Mario Pesola","","101","MORTON RD","","ALTA","CA","95701","","","","","","","","","","","","","","","AG:2205090243475197","","","","GENERAL","0","","0","","0","00000000B4BFB504","2851427218","0"
"12345","RBI SOLAR, INC","5513 VINE ST","","CINCINNATI","OH","45217","5513 VINE ST","","CINCINNATI","OH","45217","5132422051","","","CONTRACTOR","","","","CORPORATION","","","959562","","","","","","","","RBI SOLAR, INC","","959562","B","04/30/2017","","","","","","","","","","","","","","","","jmueller@rbisolar.com","RICHARD REILLY","","5513","VINE ST","","CINCINNATI","OH","45217","","","","","","","","","","","","","","","AME:1608181116577947","","","","SOLAR/PV","208.69999999999999","208.69999999999999","0","","0","000000009AAF3B10","1128199151","0"
"12352","Mike Rabaino Roofing, Inc","","","","","","1237 E Beamer St","","Woodland","CA","95776","5306680181","","","CONTRACTOR","","","","CORPORATION","","","","","","","","","","","","","718002","C-39","02/28/2014","","","","","","","","","","","","","","","","christy@rabainoroofing.com","MIKE RABAINO ROOFING INC","","1237","E Beamer St","","Woodland","CA","95776","","","","","","","","","","","","","","","AME:1608250934113842","","","","ROOFING","0","","0","","0","0000000048C16451","1136136468","0"
"12354","KAM Gardens","16520 CR 56","","Guinda","CA","95637","16520 CR 56","","Guinda","CA","95637","","","","CANNABIS LIC","","","","CORPORATION","","","12354","","","","","","","(8/29/2016 1:27 PM AME)Tier 2 - 1 Acre outdoor medical cannabis grow.","","","","","","","","","","","","","","","","","","","","","","KNOLLE FAMILY TRUST","","16520","CR 56","","Guinda","CA","95637","","PARCEL","060080010","","","","","","","","","","","","AME:1608290126526304","YOLO:11021013292236612","","","OTHER","392.69999999999999","392.69999999999999","0","","0","000000005BDA49D1","1139589846","0"
"12376","Anderson Roofing","P.O. Box 156","","BENICIA","CA","94510","P.O. Box 156 P.O. Box 156","","BENICIA","CA","94510","7073212625","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","359620","","","","","","","","Anderson Roofing","","359620","C-39","7/31/2018","","","","","","","","","","","","","","","","andersongr2@sbcglobal.net","Phillip Anderson","","P.O. Box 156","P.O. Box 156","","BENICIA","CA","94510","","","","","","","","","","","","","","","AME:1609221131552052","","","","ROOFING","138.80000000000001","138.80000000000001","0","","0","000000009ACE5D0C","1159715325","0"
"12378","Freeman Roofing","","","","","","6805 BUTTERBALL WAY","","SACRAMENTO","CA","95842","9162758662","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","CA","","","","","","","","FREEMAN ROOFING","","440788","C-39","08/31/2018","","","","","","","","","","","","","","","","freemanroofingcompany@gmail.com","Jim Freeman","","6805","BUTTERBALL WAY","","SACRAMENTO","CA","95842","","","","","","","","","","","","","","","AME:1609260910013474","","","","ROOFING","367.51999999999998","367.51999999999998","0","","0","00000000B4230670","1162217963","0"
"12380","Prime Electric","647 THIRD ST","","WOODLAND","CA","95695","647 THIRD ST","","WOODLAND","CA","95695","5309082427","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","1016986","","","","","","","","Prime Electric","","1016986","C-10","8/31/2018","","","","","","","","","","","","","","","","primeelectric17@gmail.com","ROB SANCHEZ","","647","THIRD ST","","WOODLAND","CA","95695","","","","","","","","","","","","","","","AME:1609291018430262","","","","ELECTRICAL","423.39999999999998","423.39999999999998","0","","0","000000009ACE5DFC","1165829473","0"
