"PERMIT_NO","RECORDID","NOTES","SEQ_NUM","update_originator_id","update_timestamp","create_timestamp","insert_originator_id"
"BP2021-0034","DKB:2101221108410001","(1/22/2021 11:08 AM DKB)Hell","0","0","0000000092568870","2455144560","0"
"BP2021-0034","DKB:2101221108410001","ire 12 months after the issued","1","0","0000000092568872","2455144562","0"
"BP2021-0034","DKB:2101221108410001","	Public Works approval •	An ","2","0","0000000092568874","2455144564","0"
"BP2021-0034","DKB:2103090908430001","(3/8/2021 11:31 AM DKB)Calle","0","0","000000009455EAFB","2488658683","0"
"BP2021-0034","DKB:2103090908430001","monstration of justifiable cau","1","0","000000009455EAFD","2488658685","0"
"BP2021-0448","DKB:2108030856320001","(8/3/2021 8:56 AM DKB)Hello,","0","0","000000009B068A43","2600897091","0"
"BP2021-0448","DKB:2108030856320001","rial. Is it a standing seam me","1","0","000000009B068A45","2600897093","0"
"BP2021-0448","DKB:2106181121560001","(6/18/2021 11:21 AM DKB)Hell","0","0","0000000098B0A013","2561712147","0"
"BP2021-0448","DKB:2106181121560001","sted in writing and justifiabl","1","0","0000000098B0A015","2561712149","0"
"BP2021-0539","DKB:2107280855020001","(7/28/2021 8:55 AM DKB)Hello","0","0","000000009ABF29A5","2596219301","0"
"BP2021-0539","DKB:2107280855020001","to find the requested informat","1","0","000000009ABF29A7","2596219303","0"
