"PERMIT_NO","REVIEWTYPE","DATE_SENT","CONTACT","STATUS","DATE_RECEIVED","NOTES","REMARKS","LOCKID","DATE_DUE","RECORDID","REVIEWGROUP","update_originator_id","update_timestamp","create_timestamp","exID","insert_originator_id","ASSIGNED_DATE","REVIEW_ACK"
"BP2022-0026","PW CYCLE 1","2022-01-06 00:00:00","JAIR BAUTISTA","APPROVED","2022-01-06 00:00:00","","","","2022-01-21 00:00:00","4MM:2201060852210361","AUTO","0","00000000A2FB7A73","2734135343","","0","",""
"BP2022-0026","RESIDENTIAL CYCLE 1","2022-01-06 00:00:00","CHRIS RICE","APPROVED","2022-01-10 00:00:00","","","","2022-01-12 00:00:00","4MM:2201060852220363","AUTO","0","00000000A32662A9","2734135351","","0","",""
"BP2022-0037","ADDRESSING","2022-01-27 00:00:00","ANGELICA YEPEZ","APPROVED","2022-04-20 00:00:00","","MM APPROVED REF. FE2022-0125","","2022-02-18 00:00:00","4MM:2201101058423667","AUTO","0","00000000A8E25A37","2737008581","","0","",""
"BP2022-0037","FIRE DISTRICT FEE FORM","2022-01-27 00:00:00","PERMIT TECH","APPROVED","2022-04-11 00:00:00","","","","2022-02-18 00:00:00","4MM:2201101058423668","AUTO","0","00000000A8364B34","2737008584","","0","",""
"BP2022-0037","FIRE SITE REVIEW CYCLE 1","2022-01-27 00:00:00","PERMIT TECH","APPROVED","2022-04-11 00:00:00","","","","2022-02-18 00:00:00","4MM:2201101058423669","AUTO","0","00000000A8364B36","2737008587","","0","",""
"BP2022-0037","FIRE SPRINK CYCLE 1","2022-01-27 00:00:00","SCOTT DOOLITTLE","N/A","2022-04-12 00:00:00","","","","2022-02-18 00:00:00","4MM:2201101058433670","AUTO","0","00000000A851B3DB","2737008590","","0","",""
"BP2022-0037","PLANNING CYCLE 1","2022-01-27 00:00:00","TRACY GONZALEZ","APPROVED","2022-04-11 00:00:00","(4/11/2022 9:12 AM TG)Propos","","","2022-02-18 00:00:00","4MM:2201101058433671","AUTO","0","00000000A83672F8","2737008593","","0","",""
"BP2022-0037","PW CYCLE 1","2022-01-27 00:00:00","JAIR BAUTISTA","APPROVED","2022-04-11 00:00:00","","","","2022-02-18 00:00:00","4MM:2201101058433672","AUTO","0","00000000A8373142","2737008596","","0","",""
"BP2022-0037","RESIDENTIAL CYCLE 1","2022-01-27 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-04-12 00:00:00","","","","2022-02-18 00:00:00","4MM:2201101058433673","AUTO","0","00000000A851B90B","2737008599","","0","",""
"BP2022-0037","SCHOOL DISTRICT FEE FORM","2022-01-27 00:00:00","PERMIT TECH","APPROVED","2022-04-11 00:00:00","","","","2022-02-18 00:00:00","4MM:2201101058433674","AUTO","0","00000000A8364B3C","2737008604","","0","",""
"BP2022-0045","ELECTRICAL CYCLE 1","2022-01-11 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-01-12 00:00:00","","","","2022-01-14 00:00:00","4MM:2201111047225349","AUTO","0","00000000A345AA8D","2737881565","","0","",""
"BP2022-0052","SCHOOL DISTRICT FEE FORM","2022-01-13 00:00:00","PERMIT TECH","","","","","","2022-01-28 00:00:00","4MM:2201131008448001","AUTO","0","00000000A3505DB5","2739953075","","0","",""
"BP2022-0052","FIRE SITE REVIEW CYCLE 1","2022-01-13 00:00:00","PERMIT TECH","","","","","","2022-02-04 00:00:00","4MM:2201131008448002","AUTO","0","00000000A3505DB8","2739953078","","0","",""
