"CASE_NO","REMARKS","InspectionType","INSPECTOR","SCHEDULED_DATE","SCHEDULED_TIME","COMPLETED_DATE","COMPLETED_TIME","DURATION","RESULT","NOTES","LOCKID","RECORDID","DURATION_EST","CREATED_DATE","CREATED_TIME","CREATED_BY","SEQID","CAPOVERRIDE","update_originator_id","update_timestamp","create_timestamp","exID","PathURL","PathURLDateAdded","insert_originator_id"
"CE2020-0010","mailed Courtesy Notice","LETTER DRAFTING","ANE","2020-02-13 00:00:00","","2020-02-13 00:00:00","","","","","","ANE:2002130220042587","","2020-02-13 00:00:00","14:20","ANE","","","0","00000000857783FF","2239195657","","","","0"
"CE2012-0001","530.665.9454","SITE VISIT","AY","2012-04-09 00:00:00","10:00 AM","2012-04-09 00:00:00","10:00 AM","60","FAILED","(4/10/2012 9:04 AM NB)4/9/2012Met with owner at property, chassis from manufactured home remains on site. Owner says she is making arrangements for somebody to pick up chassis along with three remaining mobil homes. Will follow up in two weeks 4/23/2012 Norm Boeger","","AY:1204060258271416","","2012-04-06 00:00:00","14:58","AY","","","0","0000000005CB0B5D","96530361","","","",""
"1044","","SITE VISIT","","2012-03-28 00:00:00","","","","30","","(4/6/2012 8:00 AM NB)3/28/2012Went to site for inspection, trailers have been removed, took pictures of site. Case has been closed by Jeff Anderson.","","AY:1204060752390827","","2012-04-06 00:00:00","07:52","AY","","","0","0000000005BDCD5E","96321530","","","",""
"CE2022-0019","","SITE VISIT","SD","2022-03-25 00:00:00","","2022-03-26 00:00:00","","0","RED TAG ISSUED","","","CR:2203261107334537","","2022-03-26 00:00:00","11:07","CR","","","0","00000000A75EA5D2","2807997630","","","","0"
"CE2022-0019","","VERIFY VIOLATION","SD","2022-03-25 00:00:00","","2022-03-26 00:00:00","","0","VIOLATION CONF.","","","CR:2203261107334538","","2022-03-26 00:00:00","11:07","CR","","","0","00000000A75EA5D4","2807997633","","","","0"
"CE2022-0019","","COMPLIANCE","PT","","","","","","","","","CR:2203261107344539","","2022-03-26 00:00:00","11:07","CR","","","0","00000000A75EA4C6","2807997636","","","","0"
"CE2022-0019","","FOLLOW UP","DBK","2022-03-29 00:00:00","","","","","","","","CR:2203261107344540","","2022-03-26 00:00:00","11:07","CR","","","0","00000000A76265AD","2807997641","","","","0"
"CE2022-0004","","SITE VISIT","DBK","2022-02-10 00:00:00","","2022-02-10 00:00:00","","","VIOLATION CONF.","","","DBK:2202111053509940","","2022-02-11 00:00:00","10:53","DBK","","","0","00000000A52F924D","2771358283","","","","0"
"CE2022-0004","","VERIFY VIOLATION","DBK","2022-02-10 00:00:00","","2022-02-10 00:00:00","","","VIOLATION CONF.","","","DBK:2202111053509941","","2022-02-11 00:00:00","10:53","DBK","","","0","00000000A52F9250","2771358286","","","","0"
"CE2022-0004","Wrong address was reported. Case closed.","SITE VISIT","DBK","2022-02-17 00:00:00","","2022-02-17 00:00:00","","","NO VIOLATION","","","DBK:2202170242119408","","2022-02-17 00:00:00","14:42","DBK","","","0","00000000A5994D92","2778286876","","","","0"
"CE2022-0013","Viol. still exists","SITE VISIT","DBK","2022-02-28 00:00:00","","2022-02-28 00:00:00","","","VIOLATION CONF.","","","DBK:2203070830208551","","2022-03-07 00:00:00","08:30","DBK","","","0","00000000A65A78F6","2790946988","","","","0"
"CE2022-0004","Progress made","SITE VISIT","DBK","2022-03-18 00:00:00","","","","","","(3/22/2022 7:53 AM DBK)I met with resident Brian Drew at the property. The front yard has been mowed down to ground level. He stated the bak yard is <Quote>phase 2<Quote> and he will work on it next. He has made great progress toward compliance.","","DBK:2203220752217850","","2022-03-22 00:00:00","07:52","DBK","","","0","00000000A71B6792","2803590897","","","","0"
"CE2022-0018","","SITE VISIT","DBK","2022-03-10 00:00:00","","2022-03-10 00:00:00","","","VIOLATION CONF.","","","DBK:2203220805297897","","2022-03-22 00:00:00","08:05","DBK","","","0","00000000A71B7167","2803593571","","","","0"
"CE2022-0018","","VERIFY VIOLATION","DBK","2022-03-10 00:00:00","","2022-03-10 00:00:00","","","VIOLATION CONF.","","","DBK:2203220805297898","","2022-03-22 00:00:00","08:05","DBK","","","0","00000000A71B716C","2803593578","","","","0"
"CE2022-0020","Inspection w/owner","SITE VISIT","DBK","2022-04-11 00:00:00","14:30","2022-04-11 00:00:00","14:30","","NO VIOLATION","","","DBK:2203290931546734","","2022-03-29 00:00:00","09:31","DBK","","","0","00000000A8534D21","2809724752","","","","0"
"CE2022-0023","Sign identified","SITE VISIT","DBK","2022-04-04 00:00:00","","2022-04-04 00:00:00","","90","VIOLATION CONF.","","","DBK:2204040311063247","","2022-04-04 00:00:00","15:11","DBK","","","0","00000000A7CFFB1A","2815423668","","","","0"
