"CASE_NO","Violation_Type","Violation_Notes","LOCKID","RECORDID","update_originator_id","update_timestamp","create_timestamp","insert_originator_id"
"1021","","","","GG:1307081142450112","1895649637","000000000C864567","210126183","1895649637"
"1050","","","","NB:1204120158062108","0","0000000005D6A043","97951811",""
"1058","","","","NB:1204120213412117","0","0000000005D6BAFC","97958652",""
"1084","","","","GG:1307080142160188","1895649637","000000000C86D538","210163000","1895649637"
"1089","","","","GG:1307080145130191","1895649637","000000000C86D5CB","210163147","1895649637"
"1095","","","","GG:1307080216320199","1895649637","000000000C86E2F9","210166521","1895649637"
"1113","","","","DG:1310010742488605","0","000000000DF6F3FA","234288122","0"
"1115","","","","AY:1106151202374262","0","0000000001E1399C","31537564",""
"1118","","","","DG:1310010813418614","0","000000000DF6FFE2","234291170","0"
"1125","","","","GG:1307240200450006","1895649637","000000000CCDCE64","214814308","1895649637"
"1137","","","","EAUS:121226083554055","0","00000000099E1ACA","161356490",""
"1140","","","","EAUS:121226083600056","0","00000000099E1ACB","161356491",""
"1141","","","","EAUS:121226083603057","0","00000000099E1ACC","161356492",""
"1143","","","","AY:1510020304229910","0","0000000034011A59","872487513","0"
"1153","","","","EAUS:121226083533052","0","00000000099E1AC5","161356485",""
"1157","","","","EAUS:121226083529051","0","00000000099E1AC4","161356484",""
"1170","","","","SC:1109280900050369","0","000000000357D575","56087925",""
"1181","","","","TR:1102171206182679","0","00000000002E3C60","3030112",""
"138","","","","DRC:1204180104335093","0","0000000005E953E1","99177441",""
"160","","","","EAUS:121107084113002","0","0000000008FDEF7E","150859646",""
"169","","","","DRC:1204190310215940","0","0000000005EE07B6","99485622",""
"171","","","","CS:1204180226245161","0","0000000005E9869C","99190428",""
"186","","","","DRC:1204190245405903","0","0000000005EDE4CA","99476682",""
"223","","","","EAUS:130315080848564","0","000000000AE097E9","182491113",""
"446","","","","AY:1301230245238925","0","000000000A010CAF","167840943",""
"649","","","","AT:1103290931390402","0","0000000000B2FD0B","11730187",""
"975","","","","EAUS:111027080357003","0","0000000003B191B5","61968821",""
"CE2011-0004","","","","EAUS:110920101225003","0","00000000033D1998","54335896",""
"CE2011-0005","","New manufactured home on property setup prior to permits and approvals","","BF:1108120828196360","0","0000000002B6DAEC","45537982",""
"CE2011-0007","","","","RF:1108160754377597","0","0000000002BEC2EC","46056172",""
"CE2011-0009","","Courtesy notice sent on August 16 2011","","BF:1108190745189888","0","0000000002CCF52A","46985840",""
"CE2011-0010","","Constructed 6 Out Buildings & Deck without permit","","RF:1108300751136192","0","0000000002ED4155","49098730",""
"CE2012-0002","","Construct large addition onto (e) barn without approvals","","AY:1202060349056439","0","0000000004E729D1","82258375",""
"CE2012-0004","","","","EAUS:120418022829002","0","0000000005E986B1","99190449",""
"CE2012-0005","","","","DRC:1204100958110367","0","0000000005CC2F9D","97267613",""
"CE2012-0007","","","","EAUS:120426084819002","0","0000000006093AF2","101268210",""
"CE2012-0009","","","","DRC:1205090319037897","0","00000000063CBC42","104643650",""
"CE2012-0010","","(5/16/2012 2:35 PM SC)People living on the property in trailers, mobile homes, boats, vans, without proper sewage disposal. Human waste is being placed into plastic bags and dumped on neighboring property.A commercial trucking operation occurs part time.","","SC:1205160233591883","0","00000000065A6BDB","106589009",""
"CE2012-0011","","Convert illegal carport to garage attached to manufactured home & change roof pitch of manufactured home.","","AY:1206270945471630","0","0000000006FE4864","117327729",""
"CE2013-0001","","","","GG:1307080357120255","1895649637","000000000C878E9A","210210458","1895649637"
"CE2013-0002","","(2/11/2013 3:27 PM SC)confined animal keeping and hog farm without Use Permit.(2/11/2013 3:28 PM SC)owner called to inquire about zoning requirements. animals were taken from property by animal control services on Feb. 8, 2013. owner may relocate or keep only 2 pigs as <Quote>pets.<Quote>","","SC:1302110325572638","0","000000000A569477","173446029",""
"CE2013-0004","","Sub Standard housing, HCD has performed inspection and left correction. Danny Newman with HCD is contact person for complaint # MH12-0072.","","NB:1303011001480017","385306439","000000000AA63F17","178666710",""
"CE2013-0005","","","","JGM:1307300323351435","0","000000000CE84AE1","216550113","0"
"CE2013-0006","","","","EAUS:130426103306002","0","000000000B8AEF70","193654640","0"
"CE2013-0007","","Received a complaint from the adjacent neighbor and followed up with the owner of the residence in question. I met with Janet Mercurio at 0900 on May 24, 2013 to provide her with the permit application, the required information she would need to satisfy the building department requirements for plans and information.I explained to her the procedure that she would have to take to rectify the code violation and then took pictures of the residence. Which are attached.","","GG:1305240255010021","1895649637","000000000BF776AE","200763130","1895649637"
"CE2013-0008","","","","GG:1306030200430011","1895649637","000000000C0C7B21","202144545","1895649637"
"CE2013-0009","","Called Frank 6/11/13 and they are awaiting the return of owner of the property from vacation and they will come in to meet with Lonell and I to discuss their means of resolving the issues.","","GG:1306110846130025","1895649637","000000000C2BDA8E","204200590","1895649637"
"CE2013-0011","","","","GG:1307080357210259","1895649637","000000000C878E9B","210210459","1895649637"
"CE2015-0001","","","","CS:1501290311350025","0","0000000025622281","627188353","0"
"CE2015-0022","","","","AQMD:150807094040007","0","000000003101F0A1","822210721","0"
"CE2019-0012","","","","AQMD:200518022200908","0","0000000088182ABC","2283285180","0"
"CE2020-0003","","","","AY:2004070715300321","0","000000008714460D","2266252813","0"
"CE2021-0029","","","","DBK:2205240852295838","0","00000000AAA594D7","2862978263","0"
"CRW-CASE","","","","CRW:1010260226000006","","000000000022A520","",""
