"BUS_LIC_NO","REMARKS","InspectionType","INSPECTOR","SCHEDULED_DATE","SCHEDULED_TIME","COMPLETED_DATE","COMPLETED_TIME","DURATION","RESULT","NOTES","LOCKID","RECORDID","DURATION_EST","CREATED_DATE","CREATED_TIME","CREATED_BY","SEQID","CAPOVERRIDE","update_originator_id","update_timestamp","create_timestamp","exID","PathURL","PathURLDateAdded","insert_originator_id"
"11432","","FIRE LIFE SAFETY","PT","","","","","","","","","SC:1105200428033040","","2011-05-20 00:00:00","16:28","SC","","","0","000000000184CCD7","25480387","","","",""
"687","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608100","","","","","","","","000000000026CA30","","","","",""
"3278","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081000","","","","","","","","000000000026CA31","","","","",""
"3282","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081006","","","","","","","","000000000026CA37","","","","",""
"3294","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081019","","","","","","","","000000000026CA45","","","","",""
"2922","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608103","","","","","","","","000000000026CA51","","","","",""
"3323","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081047","","","","","","","","000000000026CA64","","","","",""
"3326","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081051","","","","","","","","000000000026CA69","","","","",""
"3327","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081052","","","","","","","","000000000026CA6A","","","","",""
"3340","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081065","","","","","","","","000000000026CA78","","","","",""
"3374","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081099","","","","","","","","000000000026CA9D","","","","",""
"3383","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081108","","","","","","","","000000000026CAA8","","","","",""
"1613","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608111","","","","","","","","000000000026CAAA","","","","",""
