"BUSINESS_NO","ACTION_DATE","ACTION_TYPE","ACTION_BY","ACTION_DESCRIPTION","LOCKID","BUS_LIC_NO","RECORDID","COMPLETED_DATE","update_originator_id","update_timestamp","create_timestamp","exID","insert_originator_id"
"13076","2022-02-28 00:00:00","MISC/OTHER","ARMANDO GARCIA","(2/28/2022 12:10:05 PM AG) Action Created(2/28/2022 12:10 PM AG) Customer accidentally took renewal form","","13076","AG:2202281210059296","2010-12-14 00:00:00","0","00000000A603E6FF","2785273597","","0"
"3893","2017-10-03 00:00:00","NAME CHANGE","ANGELINA ESPINOZA","(10/3/2017 1:00:54 PM ANE) Action Created(10/3/2017 1:02 PM ANE)PER LETTER ATTACHED CHANGED COMPANY NAME. PER ANGELICA OK EVEN THOUGH LICENSE SHOWS SUSPENDED","","3893","ANE:1710030100541126","2010-12-14 00:00:00","0","00000000578676F9","1468429971","","0"
"12402","2018-01-08 00:00:00","MISC/OTHER","ANGELINA ESPINOZA","(1/8/2018 1:33:25 PM ANE) Action Created(1/8/2018 1:33 PM ANE) Asked Erik about condition on bottom of new Bus Lic.  Erik said it was ok to issue.","","12402","ANE:1801080133257588","","0","000000005C404519","1547715863","","0"
"10619","2018-01-29 00:00:00","FISCAL COMMENTS","ANGELINA ESPINOZA","(1/29/2018 1:27:11 PM ANE) Action Created(1/29/2018 1:27 PM ANE) Customer payed wrong amount. Unpayed receipt number 82733 for 138.80, should have paid 141.80.","","10619","ANE:1801290127119063","","0","000000005D49A4BA","1565107384","","0"
"12791","2018-10-30 00:00:00","MISC/OTHER","ANGELINA ESPINOZA","(10/30/2018 10:44:35 AM ANE) Action Created(10/30/2018 10:44 AM ANE) NEED APPLICATION TO UPDATE INFORMATION","","12791","ANE:1810301044352359","","0","000000006E36C293","1849082511","","0"
"12914","2020-01-06 00:00:00","MISC/OTHER","ANGELINA ESPINOZA","(1/6/2020 11:09:11 AM ANE) Action Created(1/6/2020 11:09 AM ANE) Mailed Discrepancy to Juan Salas","","12914","ANE:2001061109117017","2020-01-06 00:00:00","0","0000000083B8B570","2209920213","","0"
"11330","2020-01-14 00:00:00","INTERNAL COMMENTS","ANGELINA ESPINOZA","(1/14/2020 1:58:17 PM ANE) Action Created(1/14/2020 1:58 PM ANE) Business is not subject to state enrollment for storm water dischrage.","","11330","ANE:2001140158178612","","0","00000000841EEE06","2216619524","","0"
"3734","2020-01-14 00:00:00","INTERNAL COMMENTS","ANGELINA ESPINOZA","(1/14/2020 2:31:57 PM ANE) Action Created(1/14/2020 2:31 PM ANE) Business is not subject to state enrollment for storm water discharge.","","3734","ANE:2001140231578758","2020-01-14 00:00:00","0","00000000841FA878","2216667236","","0"
"12402","2020-01-17 00:00:00","INTERNAL COMMENTS","ANGELINA ESPINOZA","(1/17/2020 11:08:05 AM ANE) Action Created(1/17/2020 11:08 AM ANE) State Water Resources Control Board WDID#55571027187","","12402","ANE:2001171108051725","2020-01-17 00:00:00","0","000000008451233C","2219527605","","0"
"12611","2020-01-22 00:00:00","INTERNAL COMMENTS","ANGELINA ESPINOZA","(1/22/2020 11:20:09 AM ANE) Action Created(1/22/2020 11:20 AM ANE) Business is not subject to state enrollment for storm water discharge","","12611","ANE:2001221120095605","2020-01-22 00:00:00","0","00000000847D4950","2222803092","","0"
