"BUSINESS_NO","COMPANY","MAIL_ADDRESS1","MAIL_ADDRESS2","MAIL_CITY","MAIL_STATE","MAIL_ZIP","LOC_ADDRESS1","LOC_ADDRESS2","LOC_CITY","LOC_STATE","LOC_ZIP","PHONE","FAX","EMERGENCY","BUSINESS_TYPE","SIC_1","SIC_2","SIC_3","OWNERSHIP_TYPE","TAX_ID","RESALE_ID","ST_LIC_NO","ST_LIC_ISS","ST_LIC_EXP","WRKR_COMP","W_COMP_NO","W_COMP_ISS","W_COMP_EXP","NOTES","COMPANY_PRINT_AS","EMPLOYEES","TEXTFIELD1","TEXTFIELD2","TEXTFIELD3","TEXTFIELD4","TEXTFIELD5","TEXTFIELD6","TEXTFIELD7","TEXTFIELD8","CHECKBOX1","CHECKBOX2","CHECKBOX3","CHECKBOX4","CHECKBOX5","CHECKBOX6","CHECKBOX7","CHECKBOX8","TAG","CLASSIFICATION","EMAIL","OWNER_NAME","SITE_STREETID","SITE_NUMBER","SITE_STREETNAME","SITE_UNIT_NO","SITE_CITY","SITE_STATE","SITE_ZIP","SITE_ALTERNATE_ID","SITE_GEOTYPE","SITE_APN","SITE_LOT_NO","SITE_BLOCK","SITE_TRACT","SITE_SUBDIVISION","SITE_DESCRIPTION","LIAB_CARRIER","LIAB_NO","LIAB_ISS","LIAB_EXP","DEFAULT_INSPECTOR","LOCKID","RECORDID","LOC_RECORDID","DEPOSITTYPE","HISTORICAL_APN","BUSINESS_SUBTYPE","FEES_CHARGED","FEES_PAID","BALANCE_DUE","REFERENCE_NO","update_originator_id","update_timestamp","create_timestamp","insert_originator_id"
"13369","Amatel Inc.","1017 S. Mountain Ave.","","Monrovia","CA","91016","1017 S. Mountain Ave.","","Monrovia","CA","91016","3238010199","","","CONTRACTOR","1623","","","CORPORATION","","","854654","","","","","","","","","","854654","B (General) C-10 (Electr","02/28/2023","","","","","","","","","","","","","","","","ap@amatel.com","Joe Nwankwo","","1017","S. Mountain Ave.","","Monrovia","CA","91016","","","","","","","","","","","","","","","4MM:2201051130329616","","","","TELECOMMUNICATION","298.44","228.72","69.719999999999999","","0","00000000B4B8D21F","2733300348","0"
"13372","ADM INFINITE ENERGY","PO BOX 1983","","Elk Grove,","CA","95759","10201 TWIN CITIES RD","","Galt","CA","95632","8332364377","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","710128","","","","","","","","","","710128","B-1 (GENERAL) C-10 (ELEC","07/31/2023","","","","","","","","","","","","","","","","","ANTHONY MORA","","10201","TWIN CITIES RD","","Galt","CA","95632","","","","","","","","","","","","","","","4MM:2201071108082526","","","","ELECTRICAL","298.44","228.72","69.719999999999999","","0","00000000B4B8D2C4","2735132015","0"
"13392","MP NEXLEVEL OF CALIFORNIA, INC.","500 COUNTY ROAD 37 EAST","","MAPLE LAKE","MN","55358","266 INDUSTRIAL BLVD STE B","","SAN CARLOS","CA","94070","3209632400","","","CONTRACTOR","1623","","","CORPORATION","","","CSLB# 907019","","","","","","","","","","907019","A - GENERAL ENGINEERING","11/30/2023","","","","","","","","","","","","","","","","","","","266","INDUSTRIAL BLVD STE B","","SAN CARLOS","CA","94070","","","","","","","","","","","","","","","4MM:2201270831193163","","","","GENERAL","298.44","228.72","69.719999999999999","","0","00000000B4B8D7C0","2749298464","0"
"13399","DPR CONSTRUCTION, GP","1801 J STREET STE 200","","SACRAMENTO","CA","95811","1801 J STREET STE 200","","Sacramento,","CA","95811","9165683434","","","CONTRACTOR","","","","","","","CSLB #1083716","","","","","","","","","","","","","","","","","","","","","","","","","","","","DEVONAW@DPR.COM","GEORGE PFEFFER - PRESIDENT","","1801","J STREET STE 200","","Sacramento,","CA","95811","","","","","","","","","","","","","","","4MM:2202011205489424","","","","CONSTRUCTION","298.44","228.72","69.719999999999999","","0","00000000B4B8D9BA","2753690621","0"
"13408","ALAMO HEATING & COOLING INC.","26858 GRAFTON STREET","","Esparto","CA","95627","26858 GRAFTON STREET","","Esparto","CA","95627","7076898559","","","CONTRACTOR","","","","CORPORATION","","","CSLB #1082498","","","","","","","","ALMAO HEATING AND COOLING","2","1082498","C-20 (WARM-AIR HEATING,","10/31/2023","","","","","","","","","","","","","","","","ALAMOHEATINGANDCOOLING@GMAIL.COM","JOSE  ALAMO","","26858","GRAFTON STREET","","Esparto","CA","95627","","","","","","","","","","","","","","","4MM:2202180928519882","","","","HVAC","298.44","228.72","69.719999999999999","","0","00000000B4B8DCF1","2778792776","0"
"13440","PRIME HOME SOLUTIONS","8804 OLD AUBURN ROAD","","CITRUS HEIGHTS","CA","95610","8804 OLD AUBURN ROAD STE D","","Citrus Heights,","CA","95621","","","","CONTRACTOR","","","","CORPORATION","","","CSLB #1075385","","","","","","","","PRIME HOME SOLUTIONS BRET O'DELL","","1075385","B-GENERAL","05/21/23","","","","","","","","","","","","","","","","","BRENT BAKER","","8804","OLD AUBURN ROAD","STE D","Citrus Heights,","CA","95621","","","","","","","","","","","","","","","4MM:2204051112104264","","","","GENERAL","298.44","228.72","69.719999999999999","","0","00000000B4BAB7FD","2816042754","0"
"13460","RPM HVAC SERVICE INC.","6841 VERBENA COURT","","Citrus Heights,","CA","95621","6841 VERBENA COURT","","Citrus Heights,","CA","95621","9168702311","","","CONTRACTOR","","","","CORPORATION","CSLB #995282","","","","","","","","","","ROBERT PFAU","","995282","C-20 & C-10","05/21/2023","","","","","","","","","","","","","","","","RPMSERVICE@COMCAST.NET","ROBERT PFAU","","6841","VERBENA COURT","","Citrus Heights,","CA","95621","","","","","","","","","","","","","","","4MM:2205051249411492","","","","","298.44","228.72","69.719999999999999","","0","00000000B4B447BF","2848450715","0"
"13477","CT CONSTRUCTION","857  N PLUMAS ST","","WILLOWS","CA","95988","857 N PLUMAS STREET","","Willows,","CA","95988","5305171832","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","CSLB #989690","","","","","","","","","","","","","","","","","","","","","","","","","","","","CTCONSTRUCTION2014@GMAIL.COM","CRIS TREVINO","","857","N PLUMAS STREET","","Willows,","CA","95988","","","","","","","","","","","","","","","4MM:2206010323572145","","","","","298.44","228.72","69.719999999999999","","0","00000000B4B44EA3","2869981466","0"
"13513","SILVERLINE HOME REMODELING INC","21410 CHASE STREET #4","","CANOGA PARK","CA","91304","21410 CHASE ST #4","","CANOGA PARK","CA","91304","8558844790","","","CONTRACTOR","1521","","","CORPORATION","","CSLB# 1001143","CLASS (B & C46)","","","","","","","","SILVERLINE HOME REMODELING INC","","1001143","B & C46","02/28/2023","","","","","","","","","","","","","","","","LICENSING@PROJECTSOLAR.IO","STEVE BITON","","21410","CHASE ST #4","","CANOGA PARK","CA","91304","","","","","","","","","","","","","","","4MM:2207281016332509","","","","GENERAL","298.44","228.72","69.719999999999999","","0","00000000B4B45A51","2914745462","0"
"13418","DFS FLOORING, LP","15651 Saticov street","","Van Nuys","CA","91406","15651 Saticov street","","Van Nuys","CA","91406","8183745200","","","CONTRACTOR","1752","","","PARTNERSHIP","","","999046","","","","","","","","DFS Flooring","","999046","C15,C54","12/31/2022","","","","","","","","","","","","","","","","davidw@dfsflooring.com","Richard Friedman","","15651","Saticov","street","Van Nuys","CA","91406","","","","","","","","","","","","","","","AG:2203020333543922","","","","SUBCONTRACTOR","298.44","228.72","69.719999999999999","","0","00000000B4B9840B","2788551953","0"
"13430","Brian Taylor Concrete Construction","4082 Broadway","","Live Oak","CA","95953","4082 Broadway","","Live Oak","CA","95953","5305105154","","","CONTRACTOR","238110","","","SOLE PROPRIETORSHIP","","","960697","","","","","","","","Brian Taylor","","960697","C-8","05/31/2023","","","","","","","","","","","","","","","","summer@btconcreteconstruction.com","Brian Taylor","","4082","Broadway","","Live Oak","CA","95953","","","","","","","","","","","","","","","AG:2203210820534853","","","","CONSTRUCTION","298.44","228.72","69.719999999999999","","0","00000000B4BA8360","2801950654","0"
"13433","Marquee Fire Protection","710 West Stadium LN","","SACRAMENTO","CA","95834","710 West Stadium Lane","","SACRAMENTO","CA","95834","9166417997","","","CONTRACTOR","1711","","","LIMITED LIABILITY CORPORATION","","","1077494","","","","","","","","Marquee Fire Protection LLC","","1077494","C-16","06/30/2023","","","","","","","","","","","","","","","","mfp@marqueefire.com","Jeff Awtrey","","710","West Stadium Lane","","SACRAMENTO","CA","95834","","","","","","","","","","","","","","","AG:2203220135309029","","","","GENERAL","298.44","228.72","69.719999999999999","","0","00000000B4BA847D","2803817508","0"
"13435","Hernandez Custom Construction","2670 Hall Rd","","Corning","CA","96021","2670 Hall Rd","","Corning","CA","96021","5305862075","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","936997","","","","","","","","Miguel Hernandez","","936997","B, C8, C39","08/31/2023","","","","","","","","","","","","","","","","miguelhernandez0601@gmail.com","Miguel Hernandez","","2670","Hall Rd","","Corning","CA","96021","","","","","","","","","","","","","","","AG:2203280301335828","","","","GENERAL","298.44","228.72","69.719999999999999","","0","00000000B4BA85AA","2809389727","0"
