"PERMIT_NO","ACTION_DATE","ACTION_TYPE","ACTION_BY","ACTION_DESCRIPTION","LOCKID","RECORDID","COMPLETED_DATE","update_originator_id","update_timestamp","create_timestamp","exID","insert_originator_id"
"BP2021-0860","2022-02-08 00:00:00","BUILDING NOTES","MARIAH MARSAN","(2/8/2022 12:11:01 PM 4MM) Action Created(2/8/2022 12:11 PM 4MM) REVISION CAME IN 2/8/2022 FOR TRUSSES TO CONVENTIONAL FRAMING. EMAILED SCOTT & DAVE ABOUT THE 2 REVIEW DUE TO TRAKIT MALFUNCTION. -MM","","4MM:2202081211005849","","0","00000000A5001B89","2768247687","","0"
"BP2021-0732","2022-02-11 00:00:00","BUILDING NOTES","MARIAH MARSAN","(2/11/2022 8:32:18 AM 4MM) Action Created(2/11/2022 8:32 AM 4MM) PAYMENT FOR TEMPORARY OCCUPANCY APPLYS TO PERMIT BP2021-0732 & BP2021-0848 -MM(2/11/2022 2:44 PM 4MM)REFER TO BP2021-0848 FOR MAIN TO PAYMENT-MM","","4MM:2202110832189582","","0","00000000A5375962","2771236074","","0"
"BP2021-0835","2022-03-10 00:00:00","BUILDING NOTES","MARIAH MARSAN","(3/10/2022 8:23:22 AM 4MM) Action Created(3/10/2022 8:23 AM 4MM) REVISION FEE PAID 3/9/22 AFTER 5PM. REVISION REVIEW DATE SET FOR 3/10/22. -MM","","4MM:2203100823222779","","0","00000000A688837E","2793964412","","0"
"BP2022-0190","2022-03-10 00:00:00","BUILDING NOTES","MARIAH MARSAN","(3/10/2022 10:12:46 AM 4MM) Action Created(3/10/2022 10:12 AM 4MM) NEEDS TO PAY FSA FEES (MAILING IN CHECK) AND NEEDS TO SUBMIT A SITE PLAN. -MM","","4MM:2203101012463068","","0","00000000A68B0C35","2794130481","","0"
"BP2022-0308","2022-03-29 00:00:00","BUILDING NOTES","MARIAH MARSAN","(3/29/2022 11:23:23 AM 4MM) Action Created(3/29/2022 11:23 AM 4MM) Flood elevation certificate will be reviewed during plan check and fees will be collected at issuance if applicable. -MM","","4MM:2203291123237045","","0","00000000A77B06B6","2809857716","","0"
"BP2022-0307","2022-03-29 00:00:00","BUILDING NOTES","MARIAH MARSAN","(3/29/2022 11:23:39 AM 4MM) Action Created(3/29/2022 11:23 AM 4MM) Flood elevation certificate will be reviewed during plan check and fees will be collected at issuance if applicable. -MM","","4MM:2203291123387046","","0","00000000A77B071A","2809857816","","0"
"BP2022-0306","2022-03-29 00:00:00","BUILDING NOTES","MARIAH MARSAN","(3/29/2022 11:23:54 AM 4MM) Action Created(3/29/2022 11:23 AM 4MM) Flood elevation certificate will be reviewed during plan check and fees will be collected at issuance if applicable. -MM","","4MM:2203291123547047","","0","00000000A77B077D","2809857915","","0"
"BP2022-0287","2022-03-29 00:00:00","BUILDING NOTES","MARIAH MARSAN","(3/29/2022 11:24:08 AM 4MM) Action Created(3/29/2022 11:24 AM 4MM) Flood elevation certificate will be reviewed during plan check and fees will be collected at issuance if applicable. -MM","","4MM:2203291124087048","","0","00000000A77B07E4","2809858016","","0"
"FE2022-0232","2022-06-20 00:00:00","BUILDING NOTES","MARIAH MARSAN","(6/20/2022 11:03:11 AM 4MM) Action Created(6/20/2022 11:03 AM 4MM) REACHED OUT VIA PHONE & EMAIL 06.16.22 FOR PAYMENT REGARDING FE2022-0231 & FE2022-0232 EMAIL ATTACHED -MM","","4MM:2206201103113758","","0","00000000ABD039BF","2882550129","","0"
"FE2022-0231","2022-06-20 00:00:00","BUILDING NOTES","MARIAH MARSAN","(6/20/2022 11:04:15 AM 4MM) Action Created(6/20/2022 11:04 AM 4MM) REACHED OUT VIA PHONE & EMAIL 06.16.22 FOR PAYMENT REGARDING FE2022-0231 & FE2022-0232 EMAIL ATTACHED -MM","","4MM:2206201104143759","","0","00000000ABD03A0D","2882550283","","0"
