"BUSINESS_NO","BUS_LIC_NO","CODE","ITEM","DESCRIPTION","QUANTITY","FORMULA","AMOUNT","ACCOUNT","PAID","LOCKID","COMMENTS","PARENTID","RECORDID","ASSESSED_DATE","ASSESSED_BY","SUBFEETYPE","DEPOSITID","PROFFERID","update_originator_id","update_timestamp","create_timestamp","insert_originator_id"
"13369","13369","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2201051224099723","4MM:2201051224099727","2022-01-05 00:00:00","4MM","FEE","","","0","00000000B4B8D247","2733313160","0"
"13369","13369","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2201051224099723","4MM:2201051224099729","2022-01-05 00:00:00","4MM","FEE","","","0","00000000B4B8D246","2733313163","0"
"13372","13372","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2201071130472587","4MM:2201071130472590","2022-01-07 00:00:00","4MM","FEE","","","0","00000000B4FB47B0","2735135243","0"
"13372","13372","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2201071130472587","4MM:2201071130472591","2022-01-07 00:00:00","4MM","FEE","","","0","00000000B4FB47AF","2735135246","0"
"13392","13392","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2201270843133197","4MM:2201270843133201","2022-01-27 00:00:00","4MM","FEE","","","0","00000000B4B8D7DA","2749321968","0"
"13392","13392","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2201270843133197","4MM:2201270843133203","2022-01-27 00:00:00","4MM","FEE","","","0","00000000B4B8D7D9","2749321971","0"
"13399","13399","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2202011208489440","4MM:2202011208489444","2022-02-01 00:00:00","4MM","FEE","","","0","00000000B557A882","2753691273","0"
"13399","13399","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2202011208489440","4MM:2202011208489446","2022-02-01 00:00:00","4MM","FEE","","","0","00000000B557A881","2753691276","0"
"11606","11606","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2202020843179946","4MM:2202020843189949","2022-02-02 00:00:00","4MM","FEE","","","0","00000000B4A6A66A","2754262011","0"
"11606","11606","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2202020843179946","4MM:2202020843189951","2022-02-02 00:00:00","4MM","FEE","","","0","00000000B4A6A669","2754262016","0"
"13408","13408","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2202180938429902","4MM:2202180938439906","2022-02-18 00:00:00","4MM","FEE","","","0","00000000B4B8DE8F","2778794716","0"
"13408","13408","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2202180938429902","4MM:2202180938439908","2022-02-18 00:00:00","4MM","FEE","","","0","00000000B4B8DE8E","2778794719","0"
"13440","13440","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2204051131134366","4MM:2204051131134370","2022-04-05 00:00:00","4MM","FEE","","","0","00000000B4BAB81A","2816081865","0"
"13440","13440","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2204051131134366","4MM:2204051131134372","2022-04-05 00:00:00","4MM","FEE","","","0","00000000B4BAB819","2816081868","0"
"13460","13460","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2205050100081523","4MM:2205050100081527","2022-05-05 00:00:00","4MM","FEE","","","0","00000000B4B447D3","2848452906","0"
"13460","13460","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2205050100081523","4MM:2205050100081529","2022-05-05 00:00:00","4MM","FEE","","","0","00000000B4B447D2","2848452909","0"
"13477","13477","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2206010327342158","4MM:2206010327342162","2022-06-01 00:00:00","4MM","FEE","","","0","00000000B4B44EB7","2869982028","0"
"13477","13477","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2206010327342158","4MM:2206010327342164","2022-06-01 00:00:00","4MM","FEE","","","0","00000000B4B44EB6","2869982031","0"
"13513","13513","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","4MM:2207281024432575","4MM:2207281024432579","2022-07-28 00:00:00","4MM","FEE","","","0","00000000B4B45A65","2914831600","0"
"13513","13513","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","4MM:2207281024432575","4MM:2207281024432581","2022-07-28 00:00:00","4MM","FEE","","","0","00000000B4B45A64","2914831603","0"
"13418","13418","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2203020351363954","AG:2203020351373958","2022-03-02 00:00:00","AG","FEE","","","0","00000000B4BA7A43","2788555671","0"
"13418","13418","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","AG:2203020351363954","AG:2203020351373960","2022-03-02 00:00:00","AG","FEE","","","0","00000000B4BA7A42","2788555674","0"
"3542","3542","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2203150938466905","AG:2203150938476908","2022-03-15 00:00:00","AG","FEE","","","0","00000000B4BCF4B6","2797781317","0"
"3542","3542","LIC13","LIC13J","TECH FEE","0","","12.720000000000001","12622029716320400305-0000","1","","","AG:2203150938466905","AG:2203150938476909","2022-03-15 00:00:00","AG","FEE","","","0","00000000B4BCF4B5","2797781320","0"
"13430","13430","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2203211010446680","AG:2203211010446681","2022-03-21 00:00:00","AG","FEE","","","0","00000000B4BA8378","2802525288","0"
"13430","13430","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","AG:2203211010446680","AG:2203211010446682","2022-03-21 00:00:00","AG","FEE","","","0","00000000B4BA8377","2802525291","0"
"13433","13433","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2203220153189103","AG:2203220153189107","2022-03-22 00:00:00","AG","FEE","","","0","00000000B4BA8495","2803845900","0"
"13433","13433","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","AG:2203220153189103","AG:2203220153189109","2022-03-22 00:00:00","AG","FEE","","","0","00000000B4BA8494","2803845903","0"
"13435","13435","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2203280311215858","AG:2203280311215862","2022-03-28 00:00:00","AG","FEE","","","0","00000000B4BA85CC","2809420934","0"
"13435","13435","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","AG:2203280311215858","AG:2203280311215864","2022-03-28 00:00:00","AG","FEE","","","0","00000000B4BA85CB","2809420937","0"
"12437","12437","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2204040114142874","AG:2204040114142875","2022-04-04 00:00:00","AG","FEE","","","0","00000000B4B3A79A","2815255457","0"
"12437","12437","LIC13","LIC13J","TECH FEE","0","","12.720000000000001","12622029716320400305-0000","1","","","AG:2204040114142874","AG:2204040114142876","2022-04-04 00:00:00","AG","FEE","","","0","00000000B4B3A799","2815255460","0"
"13439","13439","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2204040308453179","AG:2204040308453183","2022-04-04 00:00:00","AG","FEE","","","0","00000000B4BAB660","2815422911","0"
"13439","13439","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","AG:2204040308453179","AG:2204040308453185","2022-04-04 00:00:00","AG","FEE","","","0","00000000B4BAB65F","2815422914","0"
"11828","11828","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2204050936444017","AG:2204050936444020","2022-04-05 00:00:00","AG","FEE","","","0","00000000B4AD5422","2815902316","0"
"11828","11828","LIC13","LIC13J","TECH FEE","0","","12.720000000000001","12622029716320400305-0000","1","","","AG:2204050936444017","AG:2204050936444021","2022-04-05 00:00:00","AG","FEE","","","0","00000000B4AD5421","2815902319","0"
"13445","13445","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2204121224281880","AG:2204121224291883","2022-04-12 00:00:00","AG","FEE","","","0","00000000B4BC1989","2824344908","0"
"13445","13445","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","AG:2204121224281880","AG:2204121224291884","2022-04-12 00:00:00","AG","FEE","","","0","00000000B4BC1988","2824344911","0"
"12819","12819","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2204260828032839","AG:2204260828032842","2022-04-26 00:00:00","AG","FEE","","","0","00000000B4B44DDE","2838391264","0"
"12819","12819","LIC13","LIC13J","TECH FEE","0","","12.720000000000001","12622029716320400305-0000","1","","","AG:2204260828032839","AG:2204260828032843","2022-04-26 00:00:00","AG","FEE","","","0","00000000B4B44DDD","2838391267","0"
"13455","13455","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2205020929077481","AG:2205020929087485","2022-05-02 00:00:00","AG","FEE","","","0","00000000B4B44361","2842712634","0"
"13455","13455","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","AG:2205020929077481","AG:2205020929087487","2022-05-02 00:00:00","AG","FEE","","","0","00000000B4B44360","2842712637","0"
"1788","1788","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","0","","","AG:2205090302555261","AG:2205090302555264","2022-05-09 00:00:00","AG","FEE","","","0","00000000B4C41835","2851437117","0"
"1788","1788","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","0","","","AG:2205090302555261","AG:2205090302555265","2022-05-09 00:00:00","AG","FEE","","","0","00000000B4C41834","2851437120","0"
"12801","12801","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2205090314215289","AG:2205090314215292","2022-05-09 00:00:00","AG","FEE","","","0","00000000B4B44604","2851439813","0"
"12801","12801","LIC13","LIC13J","TECH FEE","0","","12.720000000000001","12622029716320400305-0000","1","","","AG:2205090314215289","AG:2205090314215293","2022-05-09 00:00:00","AG","FEE","","","0","00000000B4B44603","2851439816","0"
"13465","13465","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2205100345146248","AG:2205100345146252","2022-05-10 00:00:00","AG","FEE","","","0","00000000B4B4498F","2852079276","0"
"13465","13465","LIC13","LIC13J","TECH FEE","0","@LIC TECH FEE2013","12.720000000000001","12622029716320400305-0000","1","","","AG:2205100345146248","AG:2205100345146254","2022-05-10 00:00:00","AG","FEE","","","0","00000000B4B4498E","2852079279","0"
"13467","13467","LIC13","LIC13A","BUSINESS LICENSE FEE","0","212","212","01002029716300400305-0000","1","","","AG:2205180835391767","AG:2205180835401771","2022-05-18 00:00:00","AG","FEE","","","0","00000000B4B44A20","2858708962","0"
