BUSINESS_NO,ACTION_DATE,ACTION_TYPE,ACTION_BY,ACTION_DESCRIPTION,LOCKID,BUS_LIC_NO,RECORDID,COMPLETED_DATE,update_originator_id,update_timestamp,create_timestamp,exID,insert_originator_id
13454,4/29/2022 0:00,MISC/OTHER,ARMANDO GARCIA,(4/29/2022 11:33:40 AM AG) Action Created(4/29/2022 11:33 AM AG) Business owner decied not to get a business license.,,13454,AG:2204291133406932,,0,00000000A965D08B,2842022025,,0
10718,1/30/2018 0:00,EMAIL CONTACT,ANGELINA ESPINOZA,"(1/30/2018 3:01:08 PM ANE) Action Created(1/30/2018 3:01 PM ANE) Customer would like to be contacted for any urgencies via phone or postal, not email.",,10718,ANE:1801300301081043,,0,000000005D5DE71E,1566435100,,0
12333,3/20/2018 0:00,MISC/OTHER,ANGELINA ESPINOZA,(3/20/2018 2:04:55 PM ANE) Action Created(3/20/2018 2:04 PM ANE) Refer to Business License #12652,,12333,ANE:1803200204556459,,0,000000005FC54BAB,1606765481,,0
12672,4/15/2019 0:00,FISCAL COMMENTS,ANGELINA ESPINOZA,(4/15/2019 9:21:17 AM ANE) Action Created(4/15/2019 9:21 AM ANE) Un payed check incorrect amount.,,12672,ANE:1904150921172128,,0,00000000767E8502,1988003071,,0
12811,12/23/2019 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,"(12/23/2019 10:07:54 AM ANE) Action Created(12/23/2019 10:07 AM ANE) business is exempt as an ag producer; issued a license, but did not require a fee",,12811,ANE:1912231007531397,,0,0000000083611BCE,2204179404,,0
10880,1/17/2020 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,(1/17/2020 3:10:26 PM ANE) Action Created(1/17/2020 3:10 PM ANE) Business is not subject to state enrollment for storm water discharge.  Paulino Bustamante made payment.,,10880,ANE:2001170310262240,,0,00000000844FFBD9,2219834327,,0
11678,1/22/2020 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,(1/22/2020 8:20:12 AM ANE) Action CreatedBusiness is not subject to state enrollment for storm water discharge,,11678,ANE:2001220820124987,1/22/2020 0:00,0,0000000084798B82,2222558036,,0
13029,1/23/2020 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,(1/23/2020 1:28:41 PM ANE) Action Created(1/23/2020 1:28 PM ANE) Business is not subject to state enrollment for storm water discharge,,13029,ANE:2001230128417808,,0,00000000848FA212,2224005648,,0
12722,2/5/2020 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,(2/5/2020 10:40:04 AM ANE) Action Created(2/5/2020 10:40 AM ANE) Business is not subject to state enrollment for storm water discharge.,,12722,ANE:2002051040041720,2/5/2020 0:00,0,000000008512D3B7,2232603246,,0
13053,3/3/2020 0:00,MISC/OTHER,ANGELINA ESPINOZA,(3/3/2020 9:52:32 AM ANE) Action Created(3/3/2020 9:52 AM ANE) <Quote>Business is not subject to state inrollment for storm water discharge<Quote>,,13053,ANE:2003030952322510,3/3/2020 0:00,0,000000008630E8CB,2251351815,,0
11110,3/10/2020 0:00,MISC/OTHER,ANGELINA ESPINOZA,(3/10/2020 1:23:35 PM ANE) Action Created(3/10/2020 1:23 PM ANE) Business is not subject to state enrollment for storm water discharge.,,11110,ANE:2003100123359103,,0,00000000867EC367,2256454501,,0
4010,3/10/2020 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,(3/10/2020 3:29:17 PM ANE) Action Created(3/10/2020 3:29 PM ANE) Business is not subject to state enrollment for storm water discharge.,,4010,ANE:2003100329179459,3/10/2020 0:00,0,000000008682199B,2256673163,,0
12843,5/14/2020 0:00,MISC/OTHER,ANGELINA ESPINOZA,(5/14/2020 2:06:22 PM ANE) Action Created(5/14/2020 2:06 PM ANE) Business is not subject to state enrollment for storm water discharge.,,12843,ANE:2005140206231062,5/14/2020 0:00,0,0000000087F5EB84,2281040768,,0
13086,6/9/2020 0:00,MISC/OTHER,ANGELINA ESPINOZA,(6/9/2020 9:17:33 AM ANE) Action Created(6/9/2020 9:17 AM ANE) Business not subject to state water requirements.,,13086,ANE:2006090917340888,,0,0000000088F9B10B,2298065159,,0
13123,8/10/2020 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,(8/10/2020 9:27:21 AM ANE) Action Created(8/10/2020 9:27 AM ANE) SIC# 1611Business is not subject to state enrollment for storm water discharge.,,13123,ANE:2008100927212888,8/10/2020 0:00,0,000000008B845D25,2340707619,,0
13140,9/15/2020 0:00,MISC/OTHER,ANGELINA ESPINOZA,(9/15/2020 9:36:33 AM ANE) Action Created,,13140,ANE:2009150936331576,,0,000000008CF5A340,2364908350,,0
13166,10/22/2020 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,(10/22/2020 11:33:50 AM ANE) Action Created(10/22/2020 11:33 AM ANE) Business is not subject to state enrollment for storm water discharge.,,13166,ANE:2010221133505284,10/22/2020 0:00,0,000000008ED1FBCF,2396126145,,0
13167,10/23/2020 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,(10/23/2020 11:52:48 AM ANE) Action Created(10/23/2020 11:54 AM ANE)Business is not subject to state enrollment for storm water discharge.,,13167,ANE:2010231152486701,10/23/2020 0:00,0,000000008EE4963A,2397345085,,0
13186,11/17/2020 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,(11/17/2020 11:04:22 AM ANE) Action Created(11/17/2020 11:04 AM ANE) Business is not subject to state enrollment for storm water discharge.,,13186,ANE:2011171104221898,11/17/2020 0:00,0,000000008FE0E507,2413880566,,0
13189,11/23/2020 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,(11/23/2020 11:49:03 AM ANE) Action Created(11/23/2020 11:49 AM ANE) Business is not subject to state enrollment for storm water discharge.,,13189,ANE:2011231149035249,11/23/2020 0:00,0,000000009018DA1F,2417547783,,0
12625,2/12/2021 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,(2/12/2021 11:59:11 AM ANE) Action Created(2/12/2021 11:59 AM ANE) Business is not subject to state enrollment for storm water dishcarge.,,12625,ANE:2102121159115335,2/12/2021 0:00,0,00000000933C3DD2,2470198678,,0
13231,3/23/2021 0:00,INTERNAL COMMENTS,ANGELINA ESPINOZA,(3/23/2021 12:57:44 PM ANE) Action Created(3/23/2021 12:57 PM ANE) Waiting for BL app.,,13231,ANE:2103231257459310,3/23/2021 0:00,0,000000009508C62A,2500379151,,0
13237,4/2/2021 0:00,MISC/OTHER,ANGELINA ESPINOZA,(4/2/2021 9:15:06 AM ANE) Action Created(4/2/2021 9:15 AM ANE) Business is not subject to state enrollment for storm water discharge.,,13237,ANE:2104020915068198,,0,00000000957F44AB,2508145833,,0
3993,2/8/2011 0:00,INTERNAL COMMENTS,AUNDREA TYLER,VOIDED (AT 2/8/2011 9:03:40 AM)(2/8/2011 9:03:25 AM AT) Action Created,,3993,AT:1102080903249536,,,0000000000268F76,,,
11365,2/11/2011 0:00,INTERNAL COMMENTS,AUNDREA TYLER,VOIDED (AT 3/18/2011 2:04:52 PM)(2/11/2011 11:45:29 AM AT) Action Created(2/11/2011 11:46 AM AT)FEES PAID WITH PERMIT #         RECEIPT #64062,,11365,AT:1102111145297169,,0,000000000093862F,,,
2830,2/14/2011 0:00,INTERNAL COMMENTS,AUNDREA TYLER,(2/14/2011 11:38:21 AM AT) Action Created(2/14/2011 11:38 AM AT)CANCELLED PER RENEWAL FORM 01/07/2011,,2830,AT:1102141138208431,2/14/2011 0:00,,0000000000268F7A,,,
0,2/25/2011 0:00,ISSUE LICENSE OR DENIAL LETTER,AUNDREA TYLER,VOIDED (AT 2/15/2011 10:12:31 AM)(2/15/2011 10:12:20 AM AT) Action Created,,11369,AT:1102151012209596,,,0000000000268F7B,,,
11371,2/15/2011 0:00,ROUTED,AUNDREA TYLER,VOIDED (AT 3/18/2011 2:05:30 PM)(2/15/2011 10:12:54 AM AT) Action Created,,11371,AT:1102151012549601,,0,0000000000938A1A,,,
11393,3/23/2011 0:00,INTERNAL COMMENTS,AUNDREA TYLER,(3/23/2011 9:31:02 AM AT) Action Created(3/23/2011 9:31 AM AT)CE#789. Closed,,11393,AT:1103230931027617,3/23/2011 0:00,0,0000000000A00C9B,10484590,,
11131,4/22/2011 0:00,MISC/OTHER,ANGELICA YEPEZ,(4/22/2011 11:16:02 AM AY) Action Created(4/22/2011 11:17 AM AY)Received cancellation request on the Business License renewal form.,,11131,AY:1104221116024978,4/22/2011 0:00,0,0000000001141BFF,18095003,,
11420,5/2/2011 0:00,ISSUED,ANGELICA YEPEZ,(5/2/2011 8:22:23 AM AY) Action Created,,11420,AY:1105020822230099,5/2/2011 0:00,0,1.34E+55,20188736,,
11430,5/17/2011 0:00,ISSUED,ANGELICA YEPEZ,(5/17/2011 2:32:21 PM AY) Action Created,,11430,AY:1105170232200359,5/17/2011 0:00,0,0000000001721ADB,24237909,,
11428,5/17/2011 0:00,ISSUED,ANGELICA YEPEZ,(5/17/2011 8:20:43 AM AY) Action Created,,11428,AY:1105170820439502,5/17/2011 0:00,0,00000000016E8AA3,24021655,,
10508,5/31/2011 0:00,MISC/OTHER,ANGELICA YEPEZ,(5/31/2011 7:52:53 AM AY) Action Created(5/31/2011 7:54 AM AY)Received renewal form with cancellation <Quote>No longer doing business as of 12/16/10<Quote>.  See attachment.,,10508,AY:1105310752526446,5/31/2011 0:00,0,00000000020BB427,27335537,,
11470,8/25/2011 0:00,MISC/OTHER,ANGELICA YEPEZ,(8/25/2011 1:54:33 PM AY) Action Created(8/25/2011 1:54:33 PM AY) Fee for Environmental Health was not required; see attached refund request.,,11470,AY:1108250154333835,8/25/2011 0:00,0,0000000006DB1B22,48442977,,
11308,8/31/2011 0:00,ADMINISTRATIVE ACTIONS,ANGELICA YEPEZ,"(8/31/2011 2:53:15 PM AY) Action Created(8/31/2011 2:53:15 PM AY) Denial letter / check returned 9/8/2010 by Andrea Tyler (see attached)(8/31/2011 2:54 PM AY)This company did not want to provide CSLB; worked with Lonell & referred situation to attorneys - per Aundrea's notes. CSLB attached appears to be for this business owner, however, CSLB license # was not provided.(11/9/2011 1:32 PM NS)11/9/11: Judy from NY called re status - 845-356-8390 x146",,11308,AY:1108310253157577,8/31/2011 0:00,0,0000000003E8B10F,49667038,,
11416,4/21/2011 0:00,MISC/OTHER,ANGELICA YEPEZ,On 4/21/2011 John Boud applied for a business license but then after speaking to president of Sac Wireless he did not pay for the license.,,11416,AY:1110280201090445,4/21/2011 0:00,0,0000000003B81B07,62397164,,
11295,1/17/2012 0:00,MISC/OTHER,ANGELICA YEPEZ,(1/17/2012 4:09:48 PM AY) Action Created(1/17/2012 4:09:48 PM AY) Contractor returned his renewal notice and requested to cancel his business license after 1/31/2012.  States that he is  no longer doing business in Yolo County at this time.,,11295,AY:1201170409474966,1/17/2012 0:00,0,0000000004981A3F,77077027,,
11530,2/3/2012 0:00,MISC/OTHER,ANGELICA YEPEZ,(2/3/2012 3:27:54 PM AY) Action Created(2/3/2012 3:27:54 PM AY) Spoke to Ryan and also left a message for Jessica Chavez regarding payment for the business license.,,11530,AY:1202030327545535,2/3/2012 0:00,0,0000000004E15112,81867474,,
10773,3/14/2012 0:00,FISCAL COMMENTS,ANGELICA YEPEZ,"(3/14/2012 8:27:45 AM AY) Action Created(3/14/2012 8:27:45 AM AY) Informed by accounting statff that check was returned (NSF); therefore, I inactivated license until full payment is received.(3/20/2012 9:32 AM AY)Un-Paid fees (original receipt #66762); collected fees with new money order check (new receipt #66868).",,10773,AY:1203140827446688,3/20/2012 0:00,0,00000000057A1F97,90839623,,
11640,10/11/2012 0:00,MISC/OTHER,ANGELICA YEPEZ,(10/11/2012 1:48:02 PM AY) Action Created(10/11/2012 1:48:02 PM AY) Spoke to Theresa last week (Oct 5) and she mentioned that she would be sending in payment for this business license application that was e-mailed.  I left a message for her today as I still haven't received payment.,,11640,AY:1210110148021641,10/11/2012 0:00,0,0000000008853F6B,142950172,,
11640,10/23/2012 0:00,APPROVED,ANGELICA YEPEZ,"(10/23/2012 9:22:35 AM AY) Action Created(10/23/2012 9:22:35 AM AY) Krista handed me the check from IDT, Inc. for payment of the business license.",,11640,AY:1210230922350342,10/23/2012 0:00,0,0000000008BBC9C2,146519209,,
11811,10/14/2013 0:00,MISC/OTHER,ANGELICA YEPEZ,(10/14/2013 1:27 PM AY) Customer realized she didn't need a business license with Yolo County.,,11811,AY:1310140127435598,10/14/2013 0:00,0,0000000056D45CB5,241083855,,0
11833,12/18/2013 0:00,EMAIL CONTACT,ANGELICA YEPEZ,(12/18/2013 11:22 AM AY) Received phone call from Mary Hill and e-mailed her the business license and receipt.,,11833,AY:1312181122234833,12/18/2013 0:00,0,000000000FD75509,265770228,,0
11669,1/6/2014 0:00,MISC/OTHER,ANGELICA YEPEZ,(1/6/2014 10:44 AM AY) Owner representative called; asked for another renewal form to be mailed.  Krista will mail one out.,,11669,AY:1401061044411185,1/6/2014 0:00,0,00000000100E5A3B,269376045,,0
11857,2/4/2014 0:00,INTERNAL COMMENTS,ANGELICA YEPEZ,(2/4/2014 3:11 PM AY) Received business license; incorrect amount.  Applicant paid online and check returned.  Mailed processed business license to applicant.,,11857,AY:1402040311482745,2/4/2014 0:00,0,0000000010AAF131,279638254,,0
11038,2/24/2014 0:00,FISCAL COMMENTS,ANGELICA YEPEZ,"(2/24/2014 3:07 PM AY) Byron, a representative of Bill's Roofing applied for the permit & pay expired business license, but after speaking to the contractor, it was determined that the permit fees were higher than expected and will need to submit new bid to owner.  Byron decided to no longer proceed with the permit. Informed Maryam Farhoodi, and un-payed transaction by Johnny Munoz.  Receipt was #71607.",,11038,AY:1402240307014803,2/24/2014 0:00,0,00000000110B8D3C,285969708,,0
11886,3/31/2014 0:00,MISC/OTHER,ANGELICA YEPEZ,"(3/31/2014 3:14 PM AY) Check received with license application, but it was written for the wrong amount.  Spoke to Julianne and she requested that we void out the check and mail it back. She said she will pay the business license online but i explained that the license fee will be required to be paid prior to permit issuance.",,11886,AY:1403310314446400,3/31/2014 0:00,0,0000000011D84DC2,299388344,,0
11917,5/20/2014 0:00,MISC/OTHER,ANGELICA YEPEZ,"(5/20/2014 7:13 AM AY) Customer was in yesterday to obtain permits and license but he said he would be in another day instead to complete the process, as he needed further clarity from business owners.",,11917,AY:1405200713357475,5/20/2014 0:00,0,000000001370E7B8,326166446,,0
12009,11/14/2014 0:00,MISC/OTHER,ANGELICA YEPEZ,"(11/14/2014 11:50:01 AM AY) Action Created(11/14/2014 11:50 AM AY) Emailed the business license to Patricia with Sierra Home Builders, Inc.",,12009,AY:1411141150012998,11/14/2014 0:00,0,000000001FE5F99A,535165286,,0
11049,11/14/2014 0:00,RENEWED,ANGELICA YEPEZ,(11/14/2014 11:56:16 AM AY) Action Created(11/14/2014 11:56 AM AY) Renewed their license and made necessary changes per notes on renewal form.,,11049,AY:1411141156163058,11/14/2014 0:00,0,000000001FE61FAC,535171995,,0
12009,12/2/2014 0:00,EMAIL CONTACT,ANGELICA YEPEZ,(12/2/2014 9:44:43 AM AY) Action Created(12/2/2014 9:44 AM AY) Received voicemail from Patricia DeGrinis and emailed her the business license again; see attached email.  Johnny also mailed her the license as well.,,12009,AY:1412020944430929,12/2/2014 0:00,0,00000000209C85EC,547128762,,0
10805,12/8/2014 0:00,MISC/OTHER,ANGELICA YEPEZ,(12/8/2014 2:09:28 PM AY) Action Created(12/8/2014 2:09 PM AY) Wes with Granite Bay Energy made changes to the business license: no longer CSLB #908003; changed to 977486 and revised mailing address. See attached.,,10805,AY:1412080209285527,12/8/2014 0:00,0,0000000020E57804,551899692,,0
2158,1/23/2015 0:00,MISC/OTHER,ANGELICA YEPEZ,(1/23/2015 2:46:17 PM AY) Action Created(1/23/2015 2:46 PM AY) Cancelled business license - see attached.,,2158,AY:1501230246165836,1/23/2015 0:00,0,0000000025233C91,623066249,,0
12058,2/18/2015 0:00,PHONE CALL,ANGELICA YEPEZ,(2/18/2015 11:26:34 AM AY) Action Created(2/18/2015 11:26 AM AY) Business license faxed in last week.  Received phone call from Diane Orciuoli and will be sending payment to process business license.,,12058,AY:1502181126348934,2/18/2015 0:00,0,26364761,641091005,,0
12062,2/19/2015 0:00,FISCAL COMMENTS,ANGELICA YEPEZ,"(2/19/2015 2:17:07 PM AY) Action Created(2/19/2015 2:17 PM AY) Customer paid with check #19945 for this license and permit BP2015-0128, but Unpaid transaction due to check payable to City of Davis. Receipt unpaid was 74342.",,12062,AY:1502190217070245,2/19/2015 0:00,0,000000002646F140,642183409,,0
12061,3/31/2015 0:00,PHONE CALL,ANGELICA YEPEZ,"(3/31/2015 10:36:43 AM AY) Action Created(3/31/2015 10:36 AM AY) Spoke to Amie Wallace and she indicated that Jeremy Knudson (contractor license # 983600) is listed with another entitiy business: Solar Pro from 47 Dean Way #8 in Folsom, CA and will no longer be with that company in approx. 1 wk; therefore the CSLB will be updating their records and she will then proceed with informing us, so that we could complete the  business license review.",,12061,AY:1503311036430537,3/31/2015 0:00,0,000000002827BE13,673693041,,0
12061,3/31/2015 0:00,MISC/OTHER,ANGELICA YEPEZ,(3/31/2015 10:39:37 AM AY) Action Created(3/31/2015 10:39 AM AY) Will need to follow up with Jeff/ Anderson  Krista Piazza.,,12061,AY:1503311039370538,3/31/2015 0:00,0,000000002827BE76,673693252,,0
12075,4/6/2015 0:00,PHONE CALL,ANGELICA YEPEZ,"(4/6/2015 8:53:42 AM AY) Action Created(4/6/2015 8:53 AM AY) Spoke to Mrs. Cazares regarding the complaints that Jeff mentioned to translate: loud music, urinating and parking on neighboring properties. She will pass the msg on to her husband, Abel Cazares.",,12075,AY:1504060853423225,4/6/2015 0:00,0,00000000286EAB69,678341447,,0
2302,4/15/2015 0:00,MORE INFO REQUIRED,ANGELICA YEPEZ,(4/15/2015 12:34:02 PM AY) Action Created(4/15/2015 12:34 PM AY) Provided information to Gustavo Zuniga and he will submit drawings; he attempted to submit but plans were not adequate.  He will follow up with us within 3 weeks.,,2302,AY:1504151234020154,4/15/2015 0:00,0,0000000056D45CC7,685628619,,0
12108,6/12/2015 0:00,MISC/OTHER,ANGELICA YEPEZ,"(6/12/2015 8:01:47 AM AY) Action Created(6/12/2015 8:01 AM AY) Kelly Hulett, business owner submitted business license application on 6/2/15 along with permit but indicated that she would pay for the business license at permit issuance.",,12108,AY:1506120801472923,6/12/2015 0:00,0,000000002CB43C16,750009352,,0
12155,8/26/2015 0:00,MORE INFO REQUIRED,ANGELICA YEPEZ,"(8/26/2015 9:08:41 AM AY) Action Created(8/26/2015 9:08 AM AY) Need CSLB #, applicant was missing that info and said he would provide.",,12155,AY:1602030908407120,8/26/2015 0:00,0,0000000056D45CBE,975807234,,0
12258,4/5/2016 0:00,MISC/OTHER,ANGELICA YEPEZ,"(12/16/2016 7:43:07 AM AY) Action Created(12/16/2016 7:43 AM AY) Applicant submitted license application, was supposed to pay upon obtaining building permit but payment was never made. Therefore, this license is not active.",,12258,AY:1612160743078515,4/5/2016 0:00,0,0000000048EF96F2,1223661208,,0
11533,2/16/2017 0:00,FISCAL COMMENTS,ANGELICA YEPEZ,"(2/16/2017 11:16:21 AM AY) Action Created(2/16/2017 11:16 AM AY) Upaid fees (receipt #80002) due to insufficient funds, per email obtained from Fiscal.  Called contractor rep and left a voicemail message to submit payment via cash or cashier's check + $25.00 additional for returned check fee.  Check paid various permits & this BL: BP2017-0084 / 5.",,11533,AY:1702161116209184,2/16/2017 0:00,0,000000004B6235C0,1264727362,,0
12357,8/3/2017 0:00,FISCAL COMMENTS,ANGELICA YEPEZ,"(8/3/2017 9:10:59 AM AY) Action Created(8/3/2017 9:10 AM AY) Unpaid receipt # 81169, due to grow site not approved.",,12357,AY:1708030911001415,8/3/2017 0:00,0,00000000541B7FBF,1411087436,,0
11946,8/28/2017 0:00,FISCAL COMMENTS,ANGELICA YEPEZ,(8/28/2017 9:42:28 AM AY) Action Created(8/28/2017 9:42 AM AY) Un-paid license (receipt # 81291) due to returned check from accounting department.  Notified contractor by email and voicemail of returned check + returned check fee & suspended permit (BP2017-0714) & license (11946).,,11946,AY:1708280942294231,,0,000000005576CE6C,1433849450,,0
12798,11/21/2018 0:00,FISCAL COMMENTS,ANGELICA YEPEZ,"(11/21/2018 2:47:08 PM AY) Action Created(11/21/2018 2:47 PM AY) Unpaid receipt #84946 (Check #3117) written in the amount of $512.25).  Fees collected under this receipt included the BP2018-1070, as fees were collected via Cash Register.  Explanation of unpaying the fees: Customer paid fees and I didn't realize that the seismic fee came in twice.",,12798,AY:1811210247089143,,0,000000006F5DEF82,1868426752,,0
12820,1/18/2019 0:00,FISCAL COMMENTS,ANGELICA YEPEZ,(1/18/2019 10:59:23 AM AY) Action Created(1/18/2019 10:59 AM AY) Received new license application in the mail without payment.  Emailed the applicant indicating payment amount & methods.  See attached.,,12820,AY:1901181059255778,1/18/2019 0:00,0,72358521,1916108365,,0
12535,2/6/2019 0:00,MISC/OTHER,ANGELICA YEPEZ,"(2/6/2019 2:37:41 PM AY) Action Created(2/6/2019 2:37 PM AY) Stephen Cook left a voicemail message on our main line and I returned call; he requested a print out of his business license but after checking the CSLB status, I informed him to obtain a current status with the CSLB before we activate his BL.",,12535,AY:1902060237416126,,0,000000007306332C,1929786152,,0
