busiNumber,Status,busiType,busiSubType,busiCompanyName,OWNERSHIP_TYPE,busiTaxID,busiBillTo,busiOwnerName,busiEmployQty,busiSIC,busiWorkComp,busiWorkCompNumber,busiWorkCompISS,busiWorkCompExp,busiNotes,busiCSLBNumber,busiCSLBExp,,busiCSLBNumber,busiCSLBType,busiCSLBExp,busiChemicals,busiFireArms,busiCommercial,busiHomeOcc,busiPrinted,CLASSIFICATION,busiActive,busiLastActive,busiFeesCharged,busiFeesPaid,busiFeesDue,busiEmail,busiSiteNumber,busiSiteStreet,busiSiteUnit,busiSiteCity,busiSiteState,busiSiteZIP,busiSiteAddress,busiSiteCityStZIP,busiSiteGEOType,busiSiteAPN,busimailAddress,busiMailCity,busiMailState,busiMailZIP,busiMailEqualsLocation,BusiPhysAddress,busiPhysCity,busiPhysState,busiPhysZIP,busiTel,busiLastModified,busiCreated,LOC_RECORDID,busiTRAKiTID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13371,Legacy Record,CONTRACTOR,ELECTRICAL,ZERO IMPACT ELECTRICAL,CORPORATION,,,,,1731007,,,,,,1068228,,Yes,1068228,C-10 (ELECTRICAL),,,,,,,,,,,,,CPM@ZI.SOLUTIONS.COM,3100,AIRWAY AVE #127,,COSTA MESA,CA,92626,3100 AIRWAY AVE #127,COSTA MESA CA 92626,,,3100 AIRWAY AVE #127,COSTA MESA,CA,92626,Yes,3100 AIRWAY AVE #127,COSTA MESA,CA,92626,818-877-7781,00000000A305077D,2735014123,,4MM:2201070952522296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13391,Legacy Record,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,00000000A3DEF714,2749298452,,4MM:2201270831123159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13454,Legacy Record,OTHER,SANITATION,THE REAL CLEAN SOLUTION,SOLE PROPRIETOR,,,,,,,,,,(4/29/2022 11:29 AM AG)JANITORIAL CLEANING SERVICES,,,Yes,,,,,,,,,,,,,,,,830,W MAIN ST,,Winters,CA,95694,830 W MAIN ST,Winters CA 95694,,,,,,,No,830 W MAIN ST,Winters,CA,95694,,00000000A965CD7B,2842020812,,AG:2204291127036908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13462,Legacy Record,CONTRACTOR,GENERAL,Pesola Construction INC,CORPORATION,,Mario Pesola,Mario Pesola,,,,,,,,,,Yes,778808,B,8/31/2023,,,,,,,,,0,,0,mariocpesola@reagan.com,101,MORTON RD,,ALTA,CA,95701,101 MORTON RD,ALTA CA 95701,,,PO BOX 1295,ALTA,CA,95701,No,101 MORTON RD,ALTA,CA,95701,916-708-0115,00000000B4BFB504,2851427218,,AG:2205090243475197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,Legacy Record,CONTRACTOR,SOLAR/PV,"RBI SOLAR, INC",CORPORATION,,"RBI SOLAR, INC",RICHARD REILLY,,,,,,,,959562,,Yes,959562,B,4/30/2017,,,,,,,,,208.7,208.7,0,jmueller@rbisolar.com,5513,VINE ST,,CINCINNATI,OH,45217,5513 VINE ST,CINCINNATI OH 45217,,,5513 VINE ST,CINCINNATI,OH,45217,Yes,5513 VINE ST,CINCINNATI,OH,45217,513-242-2051,000000009AAF3B10,1128199151,,AME:1608181116577947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12352,Legacy Record,CONTRACTOR,ROOFING,"Mike Rabaino Roofing, Inc",CORPORATION,,,MIKE RABAINO ROOFING INC,,,,,,,,,,Yes,718002,C-39,2/28/2014,,,,,,,,,0,,0,christy@rabainoroofing.com,1237,E Beamer St,,Woodland,CA,95776,1237 E Beamer St,Woodland CA 95776,,,,,,,No,1237 E Beamer St,Woodland,CA,95776,530-668-0181,0000000048C16451,1136136468,,AME:1608250934113842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12354,Legacy Record,CANNABIS LIC,OTHER,KAM Gardens,CORPORATION,,,KNOLLE FAMILY TRUST,,,,,,,(8/29/2016 1:27 PM AME)Tier 2 - 1 Acre outdoor medical cannabis grow.,12354,,Yes,12354,,,,,,,,,,,392.7,392.7,0,,16520,CR 56,,Guinda,CA,95637,16520 CR 56,Guinda CA 95637,PARCEL,060-080-010,16520 CR 56,Guinda,CA,95637,Yes,16520 CR 56,Guinda,CA,95637,,000000005BDA49D1,1139589846,YOLO:11021013292236612,AME:1608290126526304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12376,Legacy Record,CONTRACTOR,ROOFING,Anderson Roofing,SOLE PROPRIETOR,,Anderson Roofing,Phillip Anderson,,,,,,,,359620,,Yes,359620,C-39,7/31/2018,,,,,,,,,138.8,138.8,0,andersongr2@sbcglobal.net,,P.O. Box 156,,BENICIA,CA,94510,P.O. Box 156,BENICIA CA 94510,,,P.O. Box 156,BENICIA,CA,94510,No,P.O. Box 156 P.O. Box 156,BENICIA,CA,94510,707-321-2625,000000009ACE5D0C,1159715325,,AME:1609221131552052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12378,Legacy Record,CONTRACTOR,ROOFING,Freeman Roofing,SOLE PROPRIETOR,,FREEMAN ROOFING,Jim Freeman,,,,,,,,,,Yes,440788,C-39,8/31/2018,,,,,,,,,367.52,367.52,0,freemanroofingcompany@gmail.com,6805,BUTTERBALL WAY,,SACRAMENTO,CA,95842,6805 BUTTERBALL WAY,SACRAMENTO CA 95842,,,,,,,No,6805 BUTTERBALL WAY,SACRAMENTO,CA,95842,916-275-8662,00000000B4230670,1162217963,,AME:1609260910013474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12380,Legacy Record,CONTRACTOR,ELECTRICAL,Prime Electric,SOLE PROPRIETOR,,Prime Electric,ROB SANCHEZ,,,,,,,,1016986,,Yes,1016986,C-10,8/31/2018,,,,,,,,,423.4,423.4,0,primeelectric17@gmail.com,647,THIRD ST,,WOODLAND,CA,95695,647 THIRD ST,WOODLAND CA 95695,,,647 THIRD ST,WOODLAND,CA,95695,Yes,647 THIRD ST,WOODLAND,CA,95695,530-908-2427,000000009ACE5DFC,1165829473,,AME:1609291018430262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
