BUS_LIC_NO,REMARKS,InspectionType,INSPECTOR,SCHEDULED_DATE,SCHEDULED_TIME,COMPLETED_DATE,COMPLETED_TIME,DURATION,RESULT,NOTES,LOCKID,RECORDID,DURATION_EST,CREATED_DATE,CREATED_TIME,CREATED_BY,SEQID,CAPOVERRIDE,update_originator_id,update_timestamp,create_timestamp,exID,PathURL,PathURLDateAdded,insert_originator_id
11367,NO SELECTION FOR PERMIT TECH INSPECTOR.,FIRE LIFE SAFETY,RF,2/23/2011 0:00,1:00 PM,2/23/2011 0:00,,60,FAILED,,,AT:1102221117524852,,2/22/2011 0:00,11:17,AT,,1,0,00000000004326C8,3459123,,,,
11375,,FIRE LIFE SAFETY,BF,4/1/2011 0:00,12:00 PM,4/1/2011 0:00,,30,FAILED,,,AT:1103310958581753,,3/31/2011 0:00,9:58,AT,,,0,0000000000C2A1B7,12151881,,,,
11375,,FIRE LIFE SAFETY,LB,4/12/2011 0:00,12:00 PM,4/12/2011 0:00,,15,PASS,,,BF:1104110116377457,,4/11/2011 0:00,13:16,BF,,1,0,0000000000E43A2C,14604647,,,,
11429,,FIRE LIFE SAFETY,BF,5/27/2011 0:00,1:00 PM,5/27/2011 0:00,,,FAILED,,,BF:1105260253035856,,5/26/2011 0:00,14:53,BF,,,0,00000000019F552E,26927611,,,,
11429,,FIRE LIFE SAFETY,BF,6/23/2011 0:00,8:00 AM,6/23/2011 0:00,,30,PASS,,,BF:1106220207317895,,6/22/2011 0:00,14:07,BF,,1,0,00000000020478C8,33407782,,,,
11401,530-681-8347,FIRE LIFE SAFETY,LB,4/15/2011 0:00,12:00 PM,4/15/2011 0:00,,15,PASS,,,CF:1104141152059183,,4/14/2011 0:00,11:52,CF,,1,0,0000000000F24766,15567161,,,,
11731,,ENVIRONMENTAL HEALTH,EA,6/6/2013 0:00,,,,,,,,DL:1306050350130139,,6/5/2013 0:00,15:50,DL,,,0,000000000C15756D,202732907,,,,0
11663,,PLUMBING,,12/18/2012 0:00,,,,,,,,DRC:1212171041405981,,12/17/2012 0:00,10:41,DRC,,,0,00000000098606C7,159778501,,,,
11505,530.724.0108,FIRE SAFETY,PT,5/8/2012 0:00,2:00 PM,5/8/2012 0:00,2:00 PM,45,PASS,,,JGM:1205070349056469,,5/7/2012 0:00,15:49,JGM,,,0,6367840,104099732,,,,
11455,call matt 330-0093,FIRE LIFE SAFETY,RF,7/13/2011 0:00,12:00 PM,7/13/2011 0:00,,30,FAILED,,,NS:1107121031078013,,7/12/2011 0:00,10:31,NS,,1,0,2578367,38360057,,,,
11467,Please read notes.,FIRE SAFETY,RF,8/4/2011 0:00,12:00 PM,8/4/2011 0:00,,,FAILED,(8/4/2011 3:11 PM RF)Need to obtain permit for illegal structur.(8/8/2011 3:52 PM RF)David Morrison advised not to go to site until further notice.,,NS:1108031224251299,,8/3/2011 0:00,12:24,NS,,,0,0000000002ABE227,43971591,,,,
11479,No one there,FIRE LIFE SAFETY,RF,10/12/2011 0:00,2:00 PM,10/13/2011 0:00,,15,FAILED,,,NS:1110111036006500,,10/11/2011 0:00,10:36,NS,,,0,000000000388474A,58904780,,,,
11367,,FIRE,RF,3/1/2011 0:00,9:00 AM,3/1/2011 0:00,,30,PASS,,,RF:1103010711061500,,3/1/2011 0:00,7:11,RF,,1,-2037879390,000000000045489B,4400841,,,,
11401,see notes,FIRE LIFE SAFETY,LB,4/12/2011 0:00,11:00 AM,4/12/2011 0:00,,30,FAILED,"(4/12/2011 3:16 PM LB)The following correction must be completed before business license can be issued:1. Tankless water heater must be re-located from underneath the restroom sink to provide clear floor space for disabled access.2. The pressure relief drain line must extend to an approved location, preferrably to the outside of the building.3. The electrical sub-panel breakers must be labeled to identify each circuit.4. The sink height in the restroom must be a maximum height of 34<Quote>, and the tail-piece must be insulated.5. The must be at least 24<Quote> distance between the urinal and the sink or provide a partition between them.6. The maximum height for rim on the urinal  is 19<Quote> above the finsih floor; the urinal is higher than 19<Quote>.7. The mirror and paper towel dispenser in the restroom exceeds the maximum height of 40<Quote>; both must be lowered to meet the requirement.",,SC:1104070210596484,,4/7/2011 0:00,14:10,SC,,1,0,0000000000E4B1D1,14003754,,,,
11505,VOIDED (SC 1/5/2012),FIRE LIFE SAFETY,PT,,,,,,,,,SC:1201031059190478,,1/3/2012 0:00,10:59,SC,,,0,00000000046DDA0C,73512323,,,,
11505,,FIRE LIFE SAFETY,GG,1/6/2012 0:00,11:00 AM,1/6/2012 0:00,1:00 PM,60,CORRECTIONS NEE,,,SC:1201051104093955,,1/5/2012 0:00,11:04,SC,,,0,000000000475F363,74308129,,,,
12230,See Notes,FIRE LIFE SAFETY,TD,2/29/2016 0:00,,2/29/2016 0:00,,,CORRECTIONS NEE,(2/29/2016 10:45 AM TD)Need to install a handicap parking space. Need to get a permit for the new car lift.,,TD:1602290858165102,,2/29/2016 0:00,8:58,TD,,,0,000000003B29ADEB,992405428,,,,0
12308,See CE2016-0015 for notes.,CODE ENFORCEMENT,TD,7/28/2016 0:00,8:00 AM,7/28/2016 0:00,,,CORRECTIONS NEE,,,TD:1607280727171327,,7/28/2016 0:00,7:27,TD,,,0,000000004221BF03,1108911450,,,,0
1441,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081,,,,,,,,000000000026CA2E,,,,,
1434,,FIRE LIFESAFETY,,,,,,,,,,YOLO:11020114360810,,,,,,,,000000000026CA2F,,,,,
