BUSINESS_NO,BUS_LIC_NO,BUS_LIC_ISS,BUS_LIC_ISS_BY,BUS_LIC_EXP,BUS_LIC_EXP_BY,BUS_LIC_RENEW_NOTICE,BUS_LIC_RENEW_PAID,STATUS,STATUS_BY,TAG,CONDITIONS,LOCKID,RECORDID,LAST_INSPECTION,FEES_CHARGED,FEES_PAID,BALANCE_DUE,REFERENCE_NO,update_originator_id,update_timestamp,create_timestamp,insert_originator_id,TSstatus
10002,10002,11/5/2003 0:00,,1/31/2008 0:00,,,,INACTIVE,CS,,OBTAIN HEALTH PERMIT FOR FOOD FACILITY. OBTAIN CUPA PACKAGE.,,YOLO:110202074222478,,144,144,0,,0,00000000377EFF2E,,,
10003,10003,11/5/2003 0:00,,1/31/2006 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222479,,90,90,0,,0,00000000377EFF2F,,,
10004,10004,11/5/2003 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222480,,93.34,93.34,0,,0,00000000377EFF30,,,
10005,10005,11/5/2003 0:00,,1/31/2014 0:00,CS,,,INACTIVE,CS,,Must comply w/ Yolo Co. Code Sec. 8-2.251 for Home Occupation.,,YOLO:110202074222481,,658.9,658.9,0,,0,00000000377EFF31,,,
10006,10006,9/23/2003 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,CONDITIONS TO APPEAR ON PAGE 2.,,YOLO:110202074222482,,216.38,216.38,0,,0,00000000377EFF32,,,
10007,10007,11/7/2003 0:00,,1/31/2015 0:00,KAP,,,INACTIVE,CS,,"WORK & RESALE ONLY AS ALLOWED IN CONT. LIC LAW SECT. 7044, 7048. MUST COMPLY W/ YOLO CO. CODE SECTION 8-2.251 FOR HOME OCC.",,YOLO:110202074222483,,536.4,397.6,138.8,,0,00000000377EFF33,,,
10008,10008,11/10/2003 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222484,,93.34,93.34,0,,0,00000000377EFF34,,,
10009,10009,11/13/2003 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222485,,93.34,93.34,0,,0,00000000377EFF35,,,
10010,10010,11/13/2003 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222486,,93.34,93.34,0,,0,00000000377EFF36,,,
10014,10014,11/14/2003 0:00,,1/31/2008 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222489,,96,96,0,,0,00000000377EFF37,,,
10015,10015,11/17/2003 0:00,,1/31/2006 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222490,,90,90,0,,0,00000000377EFF38,,,
10016,10016,11/20/2003 0:00,,1/31/2007 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222491,,96,96,0,,0,00000000377EFF39,,,
10017,10017,11/26/2003 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222492,,173.34,173.34,0,,0,00000000377EFF3A,,,
10019,10019,12/8/2003 0:00,,1/31/2006 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222494,,90,90,0,,0,00000000377EFF3B,,,
1002,1002,12/21/1984 0:00,,1/31/2013 0:00,,,,INACTIVE,CS,,,,YOLO:1102020742222067,,461.9,392,69.9,,0,00000000377EFF3C,,,
10021,10021,12/10/2003 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,"Hunting only-no RV parking, target range, dog kennel, club house, or other structures on uses.",,YOLO:110202074222495,,93.34,93.34,0,,0,00000000377EFF3D,,,
10022,10022,12/15/2003 0:00,,1/31/2023 0:00,JCL,,,ACTIVE,ET,1,,,YOLO:110202074222496,,1050.14,980.42,69.72,,0,00000000B4A1ED92,,,
10023,10023,12/17/2003 0:00,,1/31/2012 0:00,AT,,,INACTIVE,CS,,Must comply W/Yolo Co.Code Sec. 8-2.251 of Home Occupation.,,YOLO:110202074222497,,127,127,0,,0,00000000377EFF3E,,,
10025,10025,12/24/2003 0:00,,1/31/2013 0:00,,,,INACTIVE,CS,,Must comply with Yolo Co. Code Section 8-2.251 for Home Occupation.,,YOLO:110202074222499,,461.9,392,69.9,,0,00000000377EFF3F,,,
10026,10026,12/24/2003 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,Must comply with Yolo Co. Code Section 8-2.251 for Home Occupation.,,YOLO:110202074222500,,100.01,100.01,0,,0,00000000377EFF40,,,
10027,10027,12/26/2003 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,Facility to submit hazardous materials business plans and inventory to Yolo County Environmental Health within 60 days of opening.,,YOLO:110202074222501,,129.71,129.71,0,,0,00000000377EFF41,,,
10028,10028,12/29/2003 0:00,,1/31/2011 0:00,,,,INACTIVE,CS,,See attached letter for conditions,,YOLO:110202074222502,,254.2,254.2,0,,0,00000000377EFF42,,,
10029,10029,12/29/2003 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,See page 2 for conditions.,,YOLO:110202074222503,,196.37,196.37,0,,0,00000000377EFF43,,,
10030,10030,12/29/2003 0:00,,1/31/2010 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222504,,191,191,0,,0,00000000377EFF44,,,
10031,10031,1/7/2004 0:00,,1/31/2007 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222505,,96,96,0,,0,00000000377EFF45,,,
10032,10032,1/7/2004 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222506,,80,80,0,,0,00000000377EFF46,,,
10033,10033,1/12/2004 0:00,,1/31/2007 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222507,,96,96,0,,0,00000000377EFF47,,,
10034,10034,1/13/2004 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,Must comply w/Yolo Co. Code Section 8-2.251 for Home Occ.No truck parking at this location.,,YOLO:110202074222508,,80,80,0,,0,00000000377EFF48,,,
10035,10035,1/14/2004 0:00,,1/31/2007 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222509,,96,96,0,,0,00000000377EFF49,,,
10036,10036,1/15/2004 0:00,,1/31/2020 0:00,KAP,,,EXPIRED,KAP,1,,,YOLO:110202074222510,,862.92,862.92,0,,0,00000000B480954C,,,
10037,10037,1/16/2004 0:00,,1/31/2005 0:00,,,,INACTIVE,CS,,,,YOLO:110202074222511,,80,80,0,,0,00000000377EFF4A,,,
10038,10038,1/21/2004 0:00,,1/31/2015 0:00,JH,,,INACTIVE,CS,,Must comply w/ Yolo Co. Code Section 8-2.251 for Home Occupation.,,YOLO:110202074222512,,536.4,397.6,138.8,,0,00000000377EFF4B,,,
