id,fee_account,fee_group,fee_type,policy,authorization,adopted,revised,expires,tier_base_qty,tier_base_fee,rate,units,rate_check
1301,13,CE,31-60 days overdue,,H&S 101325,2020-06-23,,,0.0,0.0,0.1,$1 of overdue fees,10.00 / percent
1302,13,CE,61-90 days overdue,,H&S 101325,2020-06-23,,,0.0,0.0,0.1,$1 of overdue fees,10.00 / percent
1303,13,CE,Administrative Citation,,"GC66104, 54988",2004-07-20,2011-05-17,,0.0,0.0,1300.0,each citation,1300.00 / each citation
1304,13,CE,Administrative Citation Appeal Hearing Deposit,,YCC 1-5.09,2019-06-25,,,0.0,0.0,1000.0,each hearing,"1000.00 / Deposit, Actual Cost"
1305,13,CE,"Code Enforcement Hourly Rate-additional inspections, hearings (Min 1 hr.)",,GC 54988,,2018-06-26,,0.0,0.0,149.0,each hour,149.00 / Per Hour
1306,13,CE,Delinquent Account Referral Fee,,H&S 101325,2020-06-23,,,0.0,0.0,0.25,$1 of overdue fees,25.00 / percent
1307,13,CE,Hearing Officer Hourly Rate,,YCC 1-5.09,2019-06-25,,,0.0,0.0,220.0,each hour,220.00 / 0
1308,13,CE,Initial Code Enforcement Investigation Fee,,GC54988; H&S17951,,2018-06-26,,0.0,0.0,223.0,each case,223.00 / Per Case
1309,13,CE,Notice of Violation,,GC66104,2004-07-20,2011-05-17,,0.0,0.0,650.0,each violation,650.00 / each violation
1310,13,CE,Zoning Violation Application (50%) of penalty),,GC65354.5,1993-10-02,1996-10-02,,0.0,0.0,0.5,$1 of Application Fee,50% of application fee
1801,"17,18",CA,California Building Standards Fee (State Pass-Through Fee),State mandated fee with 10% retained for staff administrative costs.,"H&S 17951, GC66014",2009-01-13,,,0.0,0.0,4.0,$1 of Construction Valuation,4.00 / 4.00 (Based on Valuation)
1901,19,CA,Strong Motion Instrumentation and Seismic Hazard Mapping (State Pass Through Fee) ($7 for Strong Motion Instrumentation and $3 for Seismic Hazard Mapp,State mandated fee with 5% retained for administrative costs.,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,1.0,$1 of Construction Valuation,"Per $100,000 Valuation, Set by State"
2101,21,Bldg-Admin,Additional Time Spent for Activities not Listed on Fee List,,"H&S 17951, YCC 7-1.03",2018-07-24,,,0.0,0.0,149.0,each hour,"149.00 / Actual Cost, Charged Per Hour"
2102,21,Bldg-Admin,Addressing Fee,Staff time to assign a new address,"GC 65104, 66016; Cal. Const. Art. XI @ 7",,2018-06-26,,0.0,0.0,134.0,each permit,134.00 / Flat Fee
2103,21,Bldg-Admin,Ag Exempt,Staff time to verify the ag exempt structure meets the requirements of Yolo County Count Section 7-1.03,YCC 7-1.03,,2018-06-26,,0.0,0.0,173.0,each permit,173.00 / Flat Fee
2104,21,Bldg-Admin,Building Permit Application Fee,Staff time to intake a building permit application,H&S17951,,2018-07-24,,0.0,0.0,67.0,each permit,67.00 / Per Permit
2105,21,Bldg-Admin,"Building Permit Application Fee - Only for HVAC, Solar, Water Heater, or other small projects as determined by CBO",,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,33.0,each permit,33.00 / Per Permit
2106,21,Bldg-Admin,Building Permit Issuance Fee,Staff time to issue a building permit,"H&S 17951, YCC 7-1.03",2018-07-24,,,0.0,0.0,56.0,each permit,56.00 / Per Permit
2107,21,Bldg-Admin,Copy of Plans (non-standard sizes),,H&S 17951,2008-06-10,,,0.0,0.0,5.0,each sheet,5.00 / Per Sheet
2108,21,Bldg-Admin,Deferred Submittal Request,,H&S 17951,,2018-06-26,,0.0,0.0,134.0,each request,134.00 / Each Request
2109,21,Bldg-Admin,"General Plan Cost Recovery (value $50,000 and under)",,GC 66104,2009-05-19,2012-05-15,,0.0,0.0,0.05,$1 of Building Fees,5% of Building Fees
2110,21,Bldg-Admin,"General Plan Cost Recovery (value over $50,000)",,GC 66104,,2012-05-15,,0.0,0.0,0.1,$1 of Building Fees,10% of Building Fee
2111,21,Bldg-Admin,Permit Extension Request,"Use ""Inspections - Hourly""",H&S 17951,,2018-06-26,,0.0,0.0,12.0,each request,101.00 / Each Request
2112,21,Bldg-Admin,Plan Check Extension Request,"Use ""Plan Review - Hourly""",H&S 17951,,2018-06-26,,0.0,0.0,12.0,each request,76.00 / Each Request
2113,21,Bldg-Admin,Records research,,H&S 17951,,2018-06-26,,0.0,0.0,149.0,each hour,149.00 / Per Hour
2114,21,Bldg-Admin,Re-Instate Permit Fee (validated),"Use ""Plan Review - Hourly""","H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,0.5,$1 of fee for a new permit,1/2 of all related fees for a new permit
2115,21,Bldg-Admin,Returned Check Fee,,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,25.0,each permit,25.00 / Per Occurance
2201,22,Bldg-Review,Plan Review Fee-Single Family/Garages,,"H&S 17951, YCC 7-1.03",1985-02-01,2005-06-28,,0.0,0.0,0.5,$1 of fee for a new permit,65% of building permit fee up to two reviews
2202,22,Bldg-Review,Permit Reviews and Requests,,"GC66014, YCC 7-1.03",,2018-06-26,,0.0,0.0,149.0,each hour,"149.00 / Per Hour, Actual Cost"
2203,22,Bldg-Review,Cal Green,,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,0.15,$1 of Plan Review Fees,"15% of the Plan Review Fee, as applicable"
2204,22,Bldg-Review,Title 24 Review,,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,0.1,$1 of Plan Review Fees,"10% of the Plan Review Fee, as applicable"
2205,22,Bldg-Review,Soil review,,H&S 17951,,2018-06-26,,0.0,0.0,149.0,each hour,149.00 / Per Hour
2206,22,Bldg-Review,Alternate Building Materials Requests,Staff time for the review required by CBC 104.11,"H&S 17951, GC66014, YCC 7-1.03",,2018-06-26,,0.0,0.0,269.0,each hour,269.00 / per hour (min. 5 hours)
2207,22,Bldg-Review,Expedited Plan Review,,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,1.5,$1 of original plan review fee,1.5 times the original plan review fee
2208,22,Bldg-Review,Plan Review Fee-Master plan development after model approval      (1 hr minimum),"Use ""Plan Review - Hourly""","H&S 17951, GC 66014, YCC 7-1.03",,2018-06-26,,0.0,0.0,12.0,each hour,149.00 / per hour
2209,22,Bldg-Review,Pre-Application Review,,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,414.0,each meeting,414.00 / Per Meeting
2301,23,Bldg-Insp,"Building Permit Fee - Tier 1 - $1-$10,000 Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity and therefore workload of a project.,"H&S 17951, YCC 7-1.03",,2018-06-26,,0.0,149.0,12.0,$1 of Construction Valuation,"149.00 / Base Fee Plus_x000D_
$12.00 per $1,000; based on valuatio"
2302,23,Bldg-Insp,"Building Permit Fee - Tier 2 - $10,001-$25,000 Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity and therefore workload of a project.,"H&S 17951, YCC 7-1.03",2018-06-26,,,10000.0,251.0,31.18,$1 of Construction Valuation,"251.00 / Base Fee Plus_x000D_
$31.18 per $1,000; based on valuatio"
2303,23,Bldg-Insp,"Building Permit Fee - Tier 3 - $25,001-$50,000 Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity and therefore workload of a project.,"H&S 17951, YCC 7-1.03",2018-06-26,,,25000.0,718.0,5.79,$1 of Construction Valuation,"718.00 / Base Fee Plus_x000D_
$5.79 per $1,000; based on valuation"
2304,23,Bldg-Insp,"Building Permit Fee - Tier 4 - $50,001-$100,000 Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity and therefore workload of a project.,"H&S 17951, YCC 7-1.03",2018-06-26,,,50000.0,863.0,9.91,$1 of Construction Valuation,"863.00 / Base Fee Plus_x000D_
$9.91 per $1,000; based on valuation"
2305,23,Bldg-Insp,"Building Permit Fee - Tier 5 - $100,001-$500,000 Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity and therefore workload of a project.,"H&S 17951, YCC 7-1.03",,2018-06-26,,100000.0,1359.0,7.2,$1 of Construction Valuation,"1359.00 / Base Fee Plus_x000D_
$7.20 per $1,000; based on valuation"
2306,23,Bldg-Insp,"Building Permit Fee - Tier 6 - $500,001-$1,000,000 Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity and therefore workload of a project.,"H&S 17951, YCC 7-1.03",2018-06-26,,,500000.0,4238.0,7.34,$1 of Construction Valuation,"4238.00 / Base Fee Plus_x000D_
$7.34 per $1,000; based on valuation"
2307,23,Bldg-Insp,"Building Permit Fee - Tier 7 - $1,000,001+ Valuation",Staff time for building inspection. Valuation is a proxy measurement for the overall complexity and therefore workload of a project.,"H&S 17951, YCC 7-1.03",2018-06-26,,,1000000.0,7908.0,3.25,$1 of Construction Valuation,"7908.00 / Base Fee Plus_x000D_
$3.25 per $1,000; based on valuation"
2311,23,Bldg-Insp,"Alternative Energy; Wind Turbine, Methane Gas Conversion, Agricultural Crop Conversion For Bio-Fuels, Etc.",,H & S 17951,2009-05-19,,,0.0,0.0,1.0,$1 of Construction Valuation,Based on construction valuation
2312,23,Bldg-Insp,Approved Fireplace Insert,,"H&S 17951, YCC 7-1.03",,2018-06-26,,0.0,0.0,217.0,each permit,217.00 / Per Permit
2313,23,Bldg-Insp,Business Site Inspection,,"YCC 12-1.513, 7-1.03, GC 66014",,2018-06-26,,1.5,223.5,145.0,each hour,145.00 / per hour (min 1.5 hours)
2314,23,Bldg-Insp,"Cellular Tower, Co-location",,H&S 17951,,2020-06-23,,0.0,0.0,579.0,each permit,579.00 / Per Permit
2315,23,Bldg-Insp,"Cellular Tower, Equipment container",,H&S 17951,,2020-06-23,,0.0,0.0,579.0,each permit,579.00 / Per Permit
2316,23,Bldg-Insp,"Cellular Tower, Free Standing",,H&S 17951,,2020-06-23,,0.0,0.0,869.0,each permit,869.00 / Per Permit
2317,23,Bldg-Insp,Certificate of Occupancy/Temporary Certificate of Occupancy,,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,101.0,each permit,101.00 / Per Permit
2318,23,Bldg-Insp,Commercial Pool and/or Spa,,H&S 17951,,2018-06-26,,0.0,0.0,1.0,$1 of Construction Valuation,Based on Valuation
2319,23,Bldg-Insp,Demolition,,H&S 17951,,2020-06-23,,0.0,0.0,434.0,each building,434.00 / Per Building
2320,23,Bldg-Insp,Demolition of Swimming Pool,,H&S 17951,2018-06-26,,,0.0,0.0,217.0,each permit,217.00 / Per Permit
2001,23,Bldg-Insp,Disabled Access,,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,0.15,$1 of Plan Review Fees,"15% of the Plan Review Fee, as applicable"
2321,23,Bldg-Insp,Disability Access: CASp,,SB1186,,2018-06-26,,0.0,0.0,4.0,each permit,4.00 / Per Business License
2322,23,Bldg-Insp,E.P.A. Approved Freestanding Wood Stove,,"H&S 17951, YCC 7-1.03",,2018-06-26,,0.0,0.0,217.0,each permit,217.00 / Per Permit
2323,23,Bldg-Insp,"Grading Inspection: 1 - 10,000 Cubic Yards",,H&S 17951,,2018-06-26,,0.0,0.0,290.0,each permit,290.00 / Flat Fee
2324,23,Bldg-Insp,"Grading Inspection: 10,001 - 100,000 Cubic Yards",,H&S 17951,,2018-06-26,,0.0,0.0,434.0,each permit,434.00 / Flat Fee
2325,23,Bldg-Insp,"Grading Inspection: 100,000+ Cubic Yards",,H&S 17951,,2020-06-23,,0.0,0.0,579.0,each permit,579.00 / Flat Fee
2326,23,Bldg-Insp,"HVAC Installation, Commercial: Furnace and/or A/C Condenser - over 3 units",,H&S 17951,,2018-06-26,,0.0,0.0,145.0,each unit,145.00 / Per Unit
2327,23,Bldg-Insp,"HVAC Installation, Commercial: Furnace, A/C Condenser - up to 3 units",,H&S 17951,,2018-06-26,,0.0,0.0,434.0,each permit,434.00 / Per Permit
2328,23,Bldg-Insp,"HVAC Installation, Residential: Furnace and/or A/C Condenser",,H&S 17951,,2018-06-26,,0.0,0.0,217.0,each permit,217.00 / Per Permit
2329,23,Bldg-Insp,"Install, Alter, Add Services  and/or Sub-Panel - over 1,001 amps","Use ""Service- or Sub-Panel Tier 2, all others""","H&S 17951, YCC 7-1.03",,2020-06-23,,0.0,0.0,10.0,each permit,434.00 / Per Permit
2330,23,Bldg-Insp,"Install, Alter, Add Services 0-325 amp/panel",,"H&S 17951, YCC 7-1.03",,2020-06-23,,0.0,0.0,290.0,each permit,290.00 / Per Permit
2331,23,Bldg-Insp,"Install, Alter, Add Services 325-1,000 amp/panel",,"H&S 17951, YCC 7-1.03",,2020-06-23,,0.0,0.0,434.0,each permit,434.00 / Per Permit
2332,23,Bldg-Insp,Manufactured Home Fee - Permit Inspection,,H&S 17951,2018-06-26,,,0.0,0.0,455.0,each permit,455.00 / Per Permit
2333,23,Bldg-Insp,Masonry fireplace with appliance insert,,H&S 17951,,2020-06-23,,0.0,0.0,434.0,each permit,434.00 / Per Permit
2334,23,Bldg-Insp,Moved Structure (In addition to permit fees),,H&S 17951,2007-06-05,2011-05-17,,0.0,0.0,585.0,each permit,585.00 / Per Permit
